# entry-subent-pointer  : E1950-017-0 
# EXFOR reaction        : ['48-CD-112', ['P,INL'], '48-CD-112,PAR,DA'] 
# incident energy       : 1.4702e+01 MeV 
# target                : Cd-112 
# product               : Cd-112 
# level energy          : 2.7230e+00 MeV 
# MF-MT number          : 4 - 629 
# first author          : M.Koike 
# institute             : (2JPNTOK): University of Tokyo, Tokyo 
# reference             : (J,NP/A,98,(2),209,196705) 
# year                  : 1967 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E19/E1950.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1950
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      3.00000E+01      0.00000E+00      2.71000E-04      0.00000E+00
      4.00000E+01      0.00000E+00      3.11000E-04      0.00000E+00
      5.00000E+01      0.00000E+00      1.27000E-04      0.00000E+00
      6.00000E+01      0.00000E+00      1.32000E-04      0.00000E+00
      7.00000E+01      0.00000E+00      1.19000E-04      0.00000E+00
      8.00000E+01      0.00000E+00      7.80000E-05      0.00000E+00
      9.00000E+01      0.00000E+00      3.23000E-05      0.00000E+00
      1.00000E+02      0.00000E+00      3.59000E-05      0.00000E+00
      1.10000E+02      0.00000E+00      5.10000E-05      0.00000E+00
      1.20000E+02      0.00000E+00      9.20000E-05      0.00000E+00
      1.30000E+02      0.00000E+00      7.30000E-05      0.00000E+00
      1.40000E+02      0.00000E+00      3.80000E-05      0.00000E+00
