# entry-subent-pointer  : E1089--06-4-0 
# EXFOR reaction        : ['24-CR-52', ['P,INL'], '24-CR-52,PAR,DA'] 
# incident energy       : 6.50e+01 MeV 
# target                : Cr-52 
# product               : Cr-52 
# level energy          : 3.16e+00 MeV 
# MF-MT number          : 4 - ['56'] 
# first author          : M.Fujiwara 
# institute             : (2JPNOSA): Osaka University , Osaka 
# reference             : (J,PR/C,32,(3),830,198509) 
# year                  : 1985 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E10/E1089.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1089
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.04100E+01      0.00000E+00      1.09500E-03              NAN
      1.33100E+01      0.00000E+00      9.80900E-04              NAN
      1.64900E+01      0.00000E+00      9.79900E-04              NAN
      2.01800E+01      0.00000E+00      8.16200E-04              NAN
      2.46500E+01      0.00000E+00      4.99100E-04              NAN
      2.85600E+01      0.00000E+00      1.93800E-04              NAN
      3.22000E+01      0.00000E+00      7.25800E-05              NAN
      3.64600E+01      0.00000E+00      1.00500E-04              NAN
      4.12400E+01      0.00000E+00      1.39200E-04              NAN
      4.65200E+01      0.00000E+00      1.11800E-04              NAN
      5.12300E+01      0.00000E+00      5.01800E-05              NAN
      5.62000E+01      0.00000E+00      1.91300E-05              NAN
      6.15000E+01      0.00000E+00      2.20900E-05              NAN
      6.60000E+01      0.00000E+00      2.20600E-05              NAN
      7.12600E+01      0.00000E+00      1.30000E-05              NAN
