# entry-subent-pointer  : D5040--00-3-0 
# EXFOR reaction        : ['24-CR-54', ['P,G'], '25-MN-55,PAR,SIG'] 
# incident energy       : 1.54e+00 MeV - 2.32e+00 MeV 
# target                : Cr-54 
# product               : Mn-55 
# level energy          : 1.26e-01 MeV 
# MF-MT number          : 3 - ['51'] 
# first author          : S.N.Utenkov 
# institute             : (4UKRKFT): Kharkovskii Fiziko-Tekhnicheskii Institute , Kharkov 
# reference             : (J,BAS,70,1859,2006) 
# year                  : 2006 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D50/D5040.x4 
# nds                   : https://nds.iaea.org/EXFOR/D5040
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.53930E+00      2.00000E-03      7.64830E-06      2.43020E-06
      1.66140E+00      2.00000E-03      1.24700E-05      5.03620E-06
      1.77890E+00      2.00000E-03      4.57590E-05      6.94560E-06
      1.89340E+00      2.00000E-03      7.08850E-05      1.07620E-05
      1.95100E+00      2.00000E-03      4.24750E-05      6.76970E-06
      2.01130E+00      2.00000E-03      8.85490E-05      1.38890E-05
      2.07330E+00      2.00000E-03      7.17760E-05      1.78810E-05
      2.12640E+00      2.00000E-03      3.19030E-05      6.25130E-06
      2.17300E+00      2.00000E-03      3.21280E-05      5.90180E-06
      2.21240E+00      2.00000E-03      1.16840E-05      5.38110E-06
      2.31910E+00      2.00000E-03      6.41950E-06      2.43020E-06
