# entry-subent-pointer  : O2006-002-0 
# EXFOR reaction        : (55-CS-133(P,X)55-CS-132,,SIG) 
# incident energy       : 2.5590e+01 MeV - 1.5258e+02 MeV 
# target                : Cs-133 
# product               : Cs-132 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Riehl 
# institute             : (2FR PAR): Universite de Paris 
# reference             : (J,JPR,22,770,1961) 
# year                  : 1961 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O20/O2006.x4 
# nds                   : https://nds.iaea.org/EXFOR/O2006
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.5590E+01        0.0000E+00        1.6567E-01        2.4507E-02
        3.8900E+01        0.0000E+00        2.3878E-01        3.4955E-02
        4.8070E+01        0.0000E+00        2.1316E-01        3.2432E-02
        5.8350E+01        0.0000E+00        2.5888E-01        3.7836E-02
        6.8210E+01        0.0000E+00        2.2101E-01        3.1712E-02
        7.6510E+01        0.0000E+00        2.1413E-01        2.9549E-02
        8.3740E+01        0.0000E+00        1.9573E-01        2.7387E-02
        9.0140E+01        0.0000E+00        2.3715E-01        3.4233E-02
        1.0636E+02        0.0000E+00        2.0501E-01        2.8828E-02
        1.2594E+02        0.0000E+00        1.6963E-01        2.6305E-02
        1.4375E+02        0.0000E+00        1.2956E-01        1.9457E-02
        1.5258E+02        0.0000E+00        1.2448E-01        1.6216E-02
