# entry-subent-pointer  : A0507-004-1 
# EXFOR reaction        : ['29-CU-0', ['P,X'], '27-CO-60-G,M+,SIG'] 
# incident energy       : 2.7600e+01 MeV - 1.9660e+02 MeV 
# target                : Cu-0 
# product               : Co-60-G 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : S.J.Mills 
# institute             : (3SAFNAC): National Accelerator Centre, Faure 
# reference             : (J,ARI,43,1019,1992) 
# year                  : 1992 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A05/A0507.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0507
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.96600E+02      0.00000E+00      1.04400E-02      8.40000E-04
      1.90200E+02      0.00000E+00      1.07500E-02      8.60000E-04
      1.83800E+02      0.00000E+00      1.08000E-02      8.70000E-04
      1.77200E+02      0.00000E+00      1.08700E-02      8.80000E-04
      1.69400E+02      0.00000E+00      1.12400E-02      9.20000E-04
      1.64100E+02      0.00000E+00      1.13300E-02      9.40000E-04
      1.58700E+02      0.00000E+00      1.12100E-02      9.30000E-04
      1.53100E+02      0.00000E+00      1.11700E-02      9.40000E-04
      1.47500E+02      0.00000E+00      1.11500E-02      9.40000E-04
      1.42700E+02      0.00000E+00      1.14500E-02      9.80000E-04
      1.37900E+02      0.00000E+00      1.12000E-02      9.60000E-04
      1.33000E+02      0.00000E+00      1.13200E-02      9.90000E-04
      1.27900E+02      0.00000E+00      1.15000E-02      1.01000E-03
      1.22600E+02      0.00000E+00      1.13700E-02      1.01000E-03
      1.18700E+02      0.00000E+00      1.14400E-02      9.20000E-04
      1.12200E+02      0.00000E+00      1.13600E-02      9.10000E-04
      1.05400E+02      0.00000E+00      1.14300E-02      9.30000E-04
      9.97000E+01      0.00000E+00      1.12900E-02      9.10000E-04
      9.64000E+01      0.00000E+00      1.09900E-02      8.80000E-04
      9.43000E+01      0.00000E+00      1.08400E-02      8.70000E-04
      9.22000E+01      0.00000E+00      1.08000E-02      8.70000E-04
      9.01000E+01      0.00000E+00      1.07700E-02      8.70000E-04
      8.79000E+01      0.00000E+00      1.06300E-02      8.60000E-04
      8.56000E+01      0.00000E+00      1.07300E-02      8.70000E-04
      8.33000E+01      0.00000E+00      1.07300E-02      8.60000E-04
      8.10000E+01      0.00000E+00      1.07500E-02      8.70000E-04
      7.86000E+01      0.00000E+00      1.02300E-02      8.30000E-04
      7.62000E+01      0.00000E+00      1.04000E-02      8.40000E-04
      7.37000E+01      0.00000E+00      9.77000E-03      7.90000E-04
      7.12000E+01      0.00000E+00      9.84000E-03      8.00000E-04
      6.85000E+01      0.00000E+00      9.77000E-03      7.90000E-04
      6.58000E+01      0.00000E+00      9.61000E-03      7.80000E-04
      6.45000E+01      0.00000E+00      9.48000E-03      7.60000E-04
      6.28000E+01      0.00000E+00      9.90000E-03      8.00000E-04
      6.11000E+01      0.00000E+00      9.98000E-03      8.00000E-04
      5.94000E+01      0.00000E+00      1.01800E-02      8.20000E-04
      5.76000E+01      0.00000E+00      1.02100E-02      8.20000E-04
      5.58000E+01      0.00000E+00      1.02400E-02      8.20000E-04
      5.39000E+01      0.00000E+00      9.93000E-03      8.00000E-04
      5.20000E+01      0.00000E+00      9.69000E-03      7.80000E-04
      5.01000E+01      0.00000E+00      8.85000E-03      7.10000E-04
      4.80000E+01      0.00000E+00      8.17000E-03      6.60000E-04
      4.59000E+01      0.00000E+00      7.85000E-03      6.30000E-04
      4.38000E+01      0.00000E+00      7.48000E-03      6.10000E-04
      4.15000E+01      0.00000E+00      7.05000E-03      5.70000E-04
      3.86000E+01      0.00000E+00      5.74000E-03      4.70000E-04
      3.61000E+01      0.00000E+00      4.13000E-03      3.40000E-04
      3.34000E+01      0.00000E+00      2.40000E-03      2.00000E-04
      3.06000E+01      0.00000E+00      7.35000E-04      7.70000E-05
      2.76000E+01      0.00000E+00      6.00000E-05      3.90000E-05
