# entry-subent-pointer  : A0507-008-0 
# EXFOR reaction        : (29-CU-0(P,X)29-CU-60,CUM,SIG) 
# incident energy       : 3.6100e+01 MeV - 9.9700e+01 MeV 
# target                : Cu-0 
# product               : Cu-60 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Mills 
# institute             : (3SAFNAC): National Accelerator Centre, Faure 
# reference             : (J,ARI,43,1019,1992) 
# year                  : 1992 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A05/A0507.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0507
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        9.9700E+01        0.0000E+00        1.2300E-02        1.0000E-03
        9.6400E+01        0.0000E+00        1.2300E-02        1.0000E-03
        9.4300E+01        0.0000E+00        1.2800E-02        1.1000E-03
        9.2200E+01        0.0000E+00        1.3400E-02        1.1000E-03
        9.0100E+01        0.0000E+00        1.3400E-02        1.1000E-03
        8.7900E+01        0.0000E+00        1.3800E-02        1.2000E-03
        8.5600E+01        0.0000E+00        1.4600E-02        1.3000E-03
        8.3300E+01        0.0000E+00        1.5600E-02        1.3000E-03
        8.1000E+01        0.0000E+00        1.5900E-02        1.4000E-03
        7.8600E+01        0.0000E+00        1.7200E-02        1.5000E-03
        7.6200E+01        0.0000E+00        1.7300E-02        1.6000E-03
        7.3700E+01        0.0000E+00        1.6600E-02        1.6000E-03
        7.1200E+01        0.0000E+00        1.7000E-02        1.6000E-03
        6.8500E+01        0.0000E+00        1.7700E-02        1.7000E-03
        6.5800E+01        0.0000E+00        1.8500E-02        1.9000E-03
        6.4500E+01        0.0000E+00        1.9900E-02        1.6000E-03
        6.2800E+01        0.0000E+00        2.1000E-02        1.7000E-03
        6.1100E+01        0.0000E+00        2.2200E-02        1.8000E-03
        5.9400E+01        0.0000E+00        2.4100E-02        2.0000E-03
        5.7600E+01        0.0000E+00        2.6200E-02        2.2000E-03
        5.5800E+01        0.0000E+00        2.8200E-02        2.3000E-03
        5.3900E+01        0.0000E+00        2.8300E-02        2.3000E-03
        5.2000E+01        0.0000E+00        2.7700E-02        2.3000E-03
        5.0100E+01        0.0000E+00        2.5900E-02        2.2000E-03
        4.8000E+01        0.0000E+00        2.1700E-02        1.9000E-03
        4.5900E+01        0.0000E+00        1.6400E-02        1.4000E-03
        4.3800E+01        0.0000E+00        1.0700E-02        1.0000E-03
        4.1500E+01        0.0000E+00        5.4000E-03        5.8000E-04
        3.8600E+01        0.0000E+00        1.7700E-03        1.9000E-04
        3.6100E+01        0.0000E+00        4.7700E-04        8.9000E-05
