# entry-subent-pointer  : A0333-003-0 
# EXFOR reaction        : (29-CU-0(P,X)30-ZN-62,,SIG) 
# incident energy       : 1.4050e+01 MeV - 3.2400e+01 MeV 
# target                : Cu-0 
# product               : Zn-62 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Kopecky 
# institute             : (3CZRUJV): Research Centre Rez, Husinec-Rez 
# reference             : (J,ARI,36,(8),657,1985) 
# year                  : 1985 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A03/A0333.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0333
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.4050E+01        4.5000E-01        2.0300E-03        1.3000E-04
        1.5180E+01        4.5000E-01        9.7500E-03        6.0000E-04
        1.6260E+01        4.5000E-01        2.1100E-02        1.1000E-03
        1.7280E+01        4.5000E-01        2.9700E-02        1.6000E-03
        1.8250E+01        4.5000E-01        3.7900E-02        2.0000E-03
        1.9180E+01        4.5000E-01        4.5200E-02        2.3000E-03
        2.0080E+01        4.5000E-01        4.9500E-02        2.6000E-03
        2.0960E+01        4.5000E-01        5.5300E-02        2.9000E-03
        2.1810E+01        4.5000E-01        6.2400E-02        3.2000E-03
        2.2630E+01        4.5000E-01        6.3900E-02        3.3000E-03
        2.3420E+01        4.5000E-01        6.6000E-02        3.4000E-03
        2.4200E+01        4.5000E-01        6.5800E-02        3.4000E-03
        2.4960E+01        4.5000E-01        6.3400E-02        3.3000E-03
        2.5710E+01        4.5000E-01        6.0800E-02        3.1000E-03
        2.6430E+01        4.5000E-01        5.8000E-02        3.0000E-03
        2.7150E+01        4.5000E-01        5.2800E-02        2.7000E-03
        2.7850E+01        4.5000E-01        4.7100E-02        2.4000E-03
        2.8520E+01        4.5000E-01        4.3800E-02        2.3000E-03
        2.9200E+01        4.5000E-01        4.0100E-02        2.1000E-03
        2.9860E+01        4.5000E-01        3.5600E-02        1.9000E-03
        3.0510E+01        4.5000E-01        3.1200E-02        1.7000E-03
        3.1150E+01        4.5000E-01        2.8200E-02        1.6000E-03
        3.1780E+01        4.5000E-01        2.5800E-02        1.5000E-03
        3.2400E+01        4.5000E-01        2.3200E-02        1.3000E-03
