# entry-subent-pointer  : C0400-003-0 
# EXFOR reaction        : ['68-ER-0', ['P,X'], 'ELEM/MASS,,SIG'] 
# incident energy       : 1.00e+01 MeV - 8.70e+01 MeV 
# target                : Er-0 
# product               : Tm-167 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : G.V.S.Rayudu 
# institute             : (1CANMCG): McGill University, Montreal,Quebec 
# reference             : (J,CJC,41,2544,1963) 
# year                  : 1963 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C04/C0400.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0400
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.00000E+01      0.00000E+00      5.70000E-02      8.55000E-03
      1.30000E+01      0.00000E+00      1.80000E-01      2.70000E-02
      1.60000E+01      0.00000E+00      1.20000E+00      1.80000E-01
      2.20000E+01      0.00000E+00      6.80000E-01      1.02000E-01
      2.80000E+01      0.00000E+00      3.80000E-01      5.70000E-02
      3.40000E+01      0.00000E+00      4.30000E-01      6.45000E-02
      4.00000E+01      0.00000E+00      5.10000E-01      7.65000E-02
      4.70000E+01      0.00000E+00      1.60000E-01      2.40000E-02
      5.70000E+01      0.00000E+00      1.10000E-01      1.65000E-02
      6.70000E+01      0.00000E+00      9.40000E-02      1.41000E-02
      7.70000E+01      0.00000E+00      5.90000E-02      8.85000E-03
      8.70000E+01      0.00000E+00      4.80000E-02      7.20000E-03
