# entry-subent-pointer  : C0828-004-0 
# EXFOR reaction        : ['9-F-19', ['P,EL'], '9-F-19,,DA'] 
# incident energy       : 1.75e+01 MeV 
# target                : F-19 
# product               : F-19 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : G.M.Crawley 
# institute             : (1USAPTN): Princeton University, Princeton, NJ 
# reference             : (J,PR,167,1070,196803) 
# year                  : 1968 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0828.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0828
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.58000E+01      0.00000E+00      1.39000E+00      8.34000E-02
      2.10000E+01      0.00000E+00      8.56000E-01      5.13600E-02
      3.15000E+01      0.00000E+00      2.42000E-01      1.45200E-02
      3.68000E+01      0.00000E+00      5.66000E-02      3.39600E-03
      4.20000E+01      0.00000E+00      2.72000E-02      1.63200E-03
      5.21000E+01      0.00000E+00      4.97000E-02      2.98200E-03
      5.75000E+01      0.00000E+00      1.61000E-02      9.66000E-04
      6.27000E+01      0.00000E+00      3.10000E-02      1.86000E-03
      7.29000E+01      0.00000E+00      4.08000E-02      2.44800E-03
      8.30000E+01      0.00000E+00      2.99000E-02      1.79400E-03
      9.31000E+01      0.00000E+00      1.52000E-02      9.12000E-04
      1.03000E+02      0.00000E+00      5.50000E-03      3.30000E-04
      1.12900E+02      0.00000E+00      2.30000E-03      1.38000E-04
      1.22700E+02      0.00000E+00      2.20000E-03      1.32000E-04
      1.32300E+02      0.00000E+00      3.60000E-03      2.16000E-04
