# entry-subent-pointer  : A0901-040-0 
# EXFOR reaction        : (26-FE-56(P,X)24-CR-51,CUM,SIG) 
# incident energy       : 4.6000e+01 MeV - 2.6050e+03 MeV 
# target                : Fe-56 
# product               : Cr-51 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Titarenko 
# institute             : (4RUSITE): Institute Teoret. + Experiment. Fiziki, Moskva 
# reference             : (J,YF,74,548,2011) 
# year                  : 2011 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A09/A0901.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0901
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.6000E+01        1.0000E+00        7.9300E-02        6.4000E-03
        6.8000E+01        1.0000E+00        3.0500E-02        2.7000E-03
        9.9000E+01        1.0000E+00        6.6100E-02        5.8000E-03
        1.4900E+02        1.0000E+00        5.5400E-02        5.3000E-03
        2.4900E+02        1.0000E+00        4.9600E-02        3.9000E-03
        4.0000E+02        2.0000E+00        4.6200E-02        4.4000E-03
        6.0000E+02        2.0000E+00        3.9700E-02        3.5000E-03
        7.9900E+02        2.0000E+00        3.7500E-02        3.4000E-03
        1.1990E+03        3.0000E+00        3.5800E-02        3.1000E-03
        1.5980E+03        4.0000E+00        3.5900E-02        3.2000E-03
        2.6050E+03        8.0000E+00        2.6900E-02        2.5000E-03
