# entry-subent-pointer  : C2678-003-0 
# EXFOR reaction        : ['32-GE-70', ['P,INL'], '32-GE-70,PAR,DA'] 
# incident energy       : 4.9490e+00 MeV - 5.2660e+00 MeV 
# target                : Ge-70 
# product               : Ge-70 
# level energy          : 1.2160e+00 MeV 
# MF-MT number          : 4 - 602 
# first author          : G.M.Temmer 
# institute             : (1USARUT): Rutgers University, New Brunswick, NJ 
# reference             : (J,PRL,26,1341,1971) 
# year                  : 1971 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C26/C2678.x4 
# nds                   : https://nds.iaea.org/EXFOR/C2678
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.00000E+01      0.00000E+00      7.33000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.30000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.94000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.79000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.19000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.95000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.55000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.73000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.33000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.27000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.51000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.33000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.34000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.86000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.74000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.95000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.23000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.59000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.78000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.32000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      6.81000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      7.35000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      8.71000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.34000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.07000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      8.23000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.44000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      1.08300E-03      0.00000E+00
      9.00000E+01      0.00000E+00      1.07400E-03      0.00000E+00
      9.00000E+01      0.00000E+00      1.03500E-03      0.00000E+00
      9.00000E+01      0.00000E+00      9.14000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      9.90000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      1.02300E-03      0.00000E+00
      9.00000E+01      0.00000E+00      9.38000E-04      4.20000E-05
      9.00000E+01      0.00000E+00      9.26000E-04      0.00000E+00
      9.00000E+01      0.00000E+00      8.84000E-04      0.00000E+00
