# entry-subent-pointer  : A1353--00-5-0 
# EXFOR reaction        : ['1-H-2', ['P,EL'], '1-H-2,,DA'] 
# incident energy       : 7.85e+00 MeV 
# target                : H-2 
# product               : H-2 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : J.Arvieux 
# institute             : (2FR GRE): Universite Joseph Fourier, Grenoble 
# reference             : (R,CEA-R-3392,1,1968) 
# year                  : 1968 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A13/A1353.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1353
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.35600E+01      5.09000E-01      2.26870E-01              NAN
      1.76380E+01      5.09000E-01      1.65360E-01              NAN
      2.13940E+01      5.09000E-01      1.63220E-01              NAN
      2.45780E+01      5.09000E-01      1.51720E-01              NAN
      2.88760E+01      5.09000E-01      1.50620E-01              NAN
      3.26320E+01      5.09000E-01      1.48490E-01              NAN
      3.58500E+01      5.09000E-01      1.46360E-01              NAN
      4.01550E+01      5.09000E-01      1.47340E-01              NAN
      4.33470E+01      5.09000E-01      1.37920E-01              NAN
      4.70760E+01      5.09000E-01      1.28500E-01              NAN
      5.13660E+01      5.09000E-01      1.25310E-01              NAN
      5.83180E+01      5.09000E-01      1.14800E-01              NAN
      6.79050E+01      5.09000E-01      8.96730E-02              NAN
      6.95070E+01      5.09000E-01      8.65260E-02              NAN
      7.86050E+01      5.09000E-01      7.49440E-02              NAN
      8.82110E+01      5.09000E-01      5.50220E-02              NAN
      9.14370E+01      5.09000E-01      5.49780E-02              NAN
      9.73060E+01      5.09000E-01      4.23990E-02              NAN
      9.94600E+01      5.09000E-01      4.34110E-02              NAN
      1.03210E+02      5.09000E-01      4.02350E-02              NAN
      1.06960E+02      5.09000E-01      3.49760E-02              NAN
      1.14480E+02      5.09000E-01      3.38320E-02              NAN
      1.15000E+02      5.09000E-01      2.86160E-02              NAN
      1.19850E+02      5.09000E-01      3.27170E-02              NAN
      1.22530E+02      5.09000E-01      3.05970E-02              NAN
      1.24690E+02      5.09000E-01      3.26510E-02              NAN
      1.29550E+02      5.09000E-01      3.77930E-02              NAN
      1.35510E+02      5.09000E-01      5.02110E-02              NAN
      1.38800E+02      5.09000E-01      6.68330E-02              NAN
      1.42020E+02      5.09000E-01      6.67890E-02              NAN
      1.44750E+02      5.09000E-01      7.82100E-02              NAN
      1.46400E+02      5.09000E-01      8.86040E-02              NAN
      1.49130E+02      5.09000E-01      1.00020E-01              NAN
      1.54630E+02      5.09000E-01      1.34320E-01              NAN
      1.60130E+02      5.09000E-01      1.66540E-01              NAN
