# entry-subent-pointer  : C0616-002-0 
# EXFOR reaction        : ['2-HE-3', ['P,EL'], '2-HE-3,,DA'] 
# incident energy       : 3.0000e+01 MeV 
# target                : He-3 
# product               : He-3 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : B.T.Murdoch 
# institute             : (1CANMNA): University of Manitoba, Cyclotron Laboratory , Winnipeg, Manitoba 
# reference             : (J,PR/C,29,2001,198406) 
# year                  : 1984 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C06/C0616.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0616
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.34000E+01      0.00000E+00      8.64000E-02      1.12320E-03
      1.67400E+01      0.00000E+00      9.53000E-02      1.04830E-03
      2.00800E+01      0.00000E+00      1.01600E-01      1.01600E-03
      2.34000E+01      0.00000E+00      1.03000E-01      1.13300E-03
      2.67100E+01      0.00000E+00      9.92000E-02      1.19040E-03
      3.00200E+01      0.00000E+00      9.39000E-02      1.03290E-03
      3.33000E+01      0.00000E+00      8.79000E-02      9.66900E-04
      3.65800E+01      0.00000E+00      8.01000E-02      8.81100E-04
      3.98300E+01      0.00000E+00      7.25000E-02      7.97500E-04
      4.30700E+01      0.00000E+00      6.48000E-02      7.12800E-04
      4.62900E+01      0.00000E+00      5.77000E-02      6.34700E-04
      4.94900E+01      0.00000E+00      5.08000E-02      6.09600E-04
      5.26700E+01      0.00000E+00      4.51000E-02      5.41200E-04
      5.58300E+01      0.00000E+00      3.92000E-02      4.70400E-04
      5.89600E+01      0.00000E+00      3.42000E-02      4.10400E-04
      6.20600E+01      0.00000E+00      2.97000E-02      3.86100E-04
      6.51400E+01      0.00000E+00      2.58000E-02      3.09600E-04
      6.81900E+01      0.00000E+00      2.23000E-02      2.89900E-04
      7.12100E+01      0.00000E+00      1.94000E-02      2.32800E-04
      7.41900E+01      0.00000E+00      1.67000E-02      2.83900E-04
      7.71500E+01      0.00000E+00      1.46000E-02      1.75200E-04
      8.00700E+01      0.00000E+00      1.25000E-02      2.12500E-04
      8.29600E+01      0.00000E+00      1.10000E-02      1.32000E-04
      8.58200E+01      0.00000E+00      9.88000E-03      2.17360E-04
      8.86400E+01      0.00000E+00      8.18000E-03      1.14520E-04
      9.14200E+01      0.00000E+00      7.17000E-03      1.57740E-04
      9.41700E+01      0.00000E+00      6.11000E-03      8.55400E-05
      9.95500E+01      0.00000E+00      4.52000E-03      5.87600E-05
      1.04770E+02      0.00000E+00      3.35000E-03      4.69000E-05
      1.09840E+02      0.00000E+00      2.52000E-03      3.78000E-05
      1.14750E+02      0.00000E+00      2.02000E-03      3.43400E-05
      1.19510E+02      0.00000E+00      1.58000E-03      4.26600E-05
      1.24110E+02      0.00000E+00      1.84000E-03      3.86400E-05
      1.28560E+02      0.00000E+00      2.44000E-03      4.63600E-05
      1.32880E+02      0.00000E+00      2.99000E-03      5.38200E-05
      1.37050E+02      0.00000E+00      4.11000E-03      7.39800E-05
      1.41100E+02      0.00000E+00      5.29000E-03      8.46400E-05
      1.45020E+02      0.00000E+00      6.80000E-03      9.52000E-05
      1.48840E+02      0.00000E+00      8.57000E-03      1.11410E-04
      1.52560E+02      0.00000E+00      1.05000E-02      1.26000E-04
      1.56190E+02      0.00000E+00      1.25000E-02      1.50000E-04
      1.59730E+02      0.00000E+00      1.44000E-02      1.58400E-04
      1.63210E+02      0.00000E+00      1.64000E-02      1.80400E-04
      1.66640E+02      0.00000E+00      1.79000E-02      1.79000E-04
