# entry-subent-pointer  : D4375--00-5-0 
# EXFOR reaction        : ['57-LA-139', ['P,5N'], '58-CE-135,,SIG'] 
# incident energy       : 3.37e+01 MeV - 6.41e+01 MeV 
# target                : La-139 
# product               : Ce-135 
# level energy          : - 
# MF-MT number          : 3 - 152 
# first author          : F.Tarkanyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,JRN,312,691,2017) 
# year                  : 2017 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D43/D4375.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4375
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.37300E+01      6.60000E-01      2.80000E-04      4.00000E-05
      3.47400E+01      6.40000E-01      4.50000E-04      7.00000E-05
      3.62400E+01      6.20000E-01      5.00000E-04      6.00000E-05
      3.71900E+01      6.00000E-01      9.40000E-04      1.10000E-04
      3.85500E+01      5.80000E-01      3.28000E-03      3.70000E-04
      3.94500E+01      5.70000E-01      7.52000E-03      8.50000E-04
      4.08000E+01      5.50000E-01      1.61700E-02      1.82000E-03
      4.16600E+01      5.40000E-01      3.25300E-02      3.66000E-03
      4.29000E+01      5.20000E-01      8.36700E-02      9.40000E-03
      4.37300E+01      5.10000E-01      1.21680E-01      1.36700E-02
      4.49400E+01      4.90000E-01      1.68960E-01      1.89700E-02
      4.57400E+01      4.80000E-01      2.04700E-01      2.29800E-02
      4.70500E+01      4.60000E-01      2.40930E-01      2.70500E-02
      4.83900E+01      4.40000E-01      3.02690E-01      3.39900E-02
      4.95700E+01      4.20000E-01      3.27230E-01      3.67400E-02
      5.08100E+01      4.00000E-01      3.67240E-01      4.12300E-02
      5.21500E+01      3.80000E-01      3.98370E-01      4.47200E-02
      5.36700E+01      3.60000E-01      3.84160E-01      4.31300E-02
      5.47600E+01      3.40000E-01      4.03240E-01      4.52700E-02
      5.58300E+01      3.20000E-01      3.94550E-01      4.43000E-02
      5.75000E+01      3.00000E-01      3.59060E-01      4.03100E-02
      5.98000E+01      2.60000E-01      3.24760E-01      3.64600E-02
      6.20200E+01      2.30000E-01      2.50270E-01      2.81000E-02
      6.40900E+01      2.00000E-01      2.11400E-01      2.37400E-02
