# entry-subent-pointer  : A0541-002-0 
# EXFOR reaction        : ['3-LI-6', ['P,EL'], '3-LI-6,,DA'] 
# incident energy       : 4.0000e-01 MeV 
# target                : Li-6 
# product               : Li-6 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.Skill 
# institute             : (2GERJLU): Justus Liebig University , Giessen 
# reference             : (J,NP/A,581,93,1995) 
# year                  : 1995 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A05/A0541.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0541
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      7.76000E+01      3.00000E-01      5.14000E-01      0.00000E+00
      8.70000E+01      3.00000E-01      3.75000E-01      0.00000E+00
      9.85000E+01      3.00000E-01      2.49000E-01      0.00000E+00
      1.07400E+02      3.00000E-01      2.15000E-01      0.00000E+00
      1.16800E+02      3.00000E-01      1.79000E-01      0.00000E+00
      1.26200E+02      3.00000E-01      1.49000E-01      0.00000E+00
      1.35000E+02      3.00000E-01      1.43000E-01      0.00000E+00
      1.44400E+02      3.00000E-01      1.29000E-01      0.00000E+00
      1.51700E+02      3.00000E-01      1.22000E-01      0.00000E+00
      1.61000E+02      3.00000E-01      1.13000E-01      0.00000E+00
