# entry-subent-pointer  : F0010--01-3-0 
# EXFOR reaction        : ['3-LI-6', ['P,HE3'], '2-HE-4,,DA'] 
# incident energy       : 1.20e+01 MeV 
# target                : Li-6 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 4 - 106 
# first author          : G.M.Temmer 
# institute             : (1USAFSU): Florida State University, Tallahassee, FL 
# reference             : (C,62PADUA,,1013,1962) 
# year                  : 1962 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F00/F0010.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0010
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.36000E+01      4.00000E-01      6.97100E-03              NAN
      1.95000E+01      4.00000E-01      5.38600E-03              NAN
      2.65000E+01      4.00000E-01      3.67500E-03              NAN
      3.86000E+01      4.00000E-01      2.54300E-03              NAN
      5.13000E+01      4.00000E-01      2.54300E-03              NAN
      6.28000E+01      4.00000E-01      2.51800E-03              NAN
      6.80000E+01      4.00000E-01      2.64400E-03              NAN
      7.54000E+01      4.00000E-01      2.74400E-03              NAN
      7.80000E+01      4.00000E-01      3.02100E-03              NAN
      8.61000E+01      4.00000E-01      3.12200E-03              NAN
      8.87000E+01      4.00000E-01      3.04600E-03              NAN
      9.73000E+01      4.00000E-01      3.22200E-03              NAN
      1.00200E+02      4.00000E-01      3.09600E-03              NAN
      1.07700E+02      4.00000E-01      3.22200E-03              NAN
      1.12500E+02      4.00000E-01      3.19700E-03              NAN
      1.26400E+02      4.00000E-01      2.51800E-03              NAN
      1.38800E+02      4.00000E-01      1.81400E-03              NAN
      1.52500E+02      4.00000E-01      1.99000E-03              NAN
      1.59500E+02      4.00000E-01      2.36700E-03              NAN
      1.65700E+02      4.00000E-01      3.02100E-03              NAN
      1.72500E+02      4.00000E-01      4.37900E-03              NAN
