# entry-subent-pointer  : A1367-002-0 
# EXFOR reaction        : (3-LI-6(P,HE3)2-HE-4,,SIG,,,EXP) 
# incident energy       : 5.0000e-02 MeV - 1.9000e-01 MeV 
# target                : Li-6 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 3 - 106 
# first author          : Gemeinhardt 
# institute             : (2GERMBG): University of Marburg 
# reference             : (J,ZP,197,(1),58,196610) 
# year                  : 1966 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A13/A1367.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1367
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        5.0000E-02        0.0000E+00        1.2000E-04        1.0000E-05
        6.0000E-02        0.0000E+00        3.0000E-04        3.0000E-05
        7.0000E-02        0.0000E+00        6.2000E-04        6.0000E-05
        8.0000E-02        0.0000E+00        1.1600E-03        1.2000E-04
        9.0000E-02        0.0000E+00        1.8300E-03        1.5000E-04
        1.0000E-01        0.0000E+00        2.8000E-03        1.8000E-04
        1.1000E-01        0.0000E+00        3.7000E-03        2.5000E-04
        1.2000E-01        0.0000E+00        4.8500E-03        1.7000E-04
        1.3000E-01        0.0000E+00        6.1000E-03        4.0000E-04
        1.4000E-01        0.0000E+00        7.7000E-03        5.0000E-04
        1.5000E-01        0.0000E+00        9.9000E-03        6.0000E-04
        1.6000E-01        0.0000E+00        1.2200E-02        8.0000E-04
        1.7000E-01        0.0000E+00        1.4400E-02        9.0000E-04
        1.8000E-01        0.0000E+00        1.7000E-02        1.1000E-03
        1.9000E-01        0.0000E+00        1.9700E-02        1.3000E-03
