# entry-subent-pointer  : F0022-004-0 
# EXFOR reaction        : (3-LI-7(P,G)4-BE-8,PAR,SIG) 
# incident energy       : 2.5200e+00 MeV - 1.6120e+01 MeV 
# target                : Li-7 
# product               : Be-8 
# level energy          : 0.0000e+00 MeV 
# MF-MT number          : 3 - 0 
# first author          : Fisher 
# institute             : (1USASTF): Stanford University, Stanford, CA 
# reference             : (J,PR/C,14,28,1976) 
# year                  : 1976 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F00/F0022.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0022
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.5200E+00        0.0000E+00        2.6220E-05        2.0000E-06
        2.6300E+00        0.0000E+00        2.7540E-05        1.3300E-06
        2.6600E+00        0.0000E+00        2.7870E-05        2.3300E-06
        2.9200E+00        0.0000E+00        3.1180E-05        1.6700E-06
        3.1500E+00        0.0000E+00        3.1160E-05        1.6700E-06
        3.4100E+00        0.0000E+00        3.3470E-05        1.6700E-06
        3.6600E+00        0.0000E+00        3.6440E-05        2.3300E-06
        3.9200E+00        0.0000E+00        3.6750E-05        1.6700E-06
        4.1800E+00        0.0000E+00        3.9060E-05        2.0000E-06
        4.4600E+00        0.0000E+00        4.2040E-05        3.0000E-06
        4.6700E+00        0.0000E+00        4.5690E-05        3.6700E-06
        4.9500E+00        0.0000E+00        4.3330E-05        2.6700E-06
        5.2000E+00        0.0000E+00        4.2300E-05        1.3300E-06
        5.4300E+00        0.0000E+00        4.2950E-05        2.0000E-06
        5.6800E+00        0.0000E+00        4.1930E-05        2.3400E-06
        5.9400E+00        0.0000E+00        4.1900E-05        1.6700E-06
        6.1600E+00        0.0000E+00        3.8550E-05        1.6700E-06
        6.3500E+00        0.0000E+00        3.4530E-05        2.0000E-06
        6.5500E+00        0.0000E+00        3.5180E-05        3.0000E-06
        6.7800E+00        0.0000E+00        3.3830E-05        2.0000E-06
        6.9500E+00        0.0000E+00        3.2140E-05        1.3300E-06
        7.1700E+00        0.0000E+00        3.1790E-05        1.6700E-06
        7.3700E+00        0.0000E+00        2.8770E-05        2.6700E-06
        7.5900E+00        0.0000E+00        2.4750E-05        1.6700E-06
        7.7600E+00        0.0000E+00        2.5400E-05        2.3300E-06
        7.9500E+00        0.0000E+00        2.2380E-05        1.6700E-06
        8.1800E+00        0.0000E+00        2.4360E-05        2.6700E-06
        8.4100E+00        0.0000E+00        2.3680E-05        2.0000E-06
        8.6600E+00        0.0000E+00        2.1320E-05        2.0000E-06
        8.9100E+00        0.0000E+00        1.8630E-05        2.0000E-06
        9.1900E+00        0.0000E+00        1.4940E-05        1.6700E-06
        9.4200E+00        0.0000E+00        1.5250E-05        1.6700E-06
        9.6700E+00        0.0000E+00        1.3890E-05        1.6700E-06
        1.0150E+01        0.0000E+00        1.2850E-05        1.6600E-06
        1.0660E+01        0.0000E+00        1.2470E-05        1.3300E-06
        1.1170E+01        0.0000E+00        1.2760E-05        1.6700E-06
        1.1680E+01        0.0000E+00        1.0380E-05        1.6700E-06
        1.2160E+01        0.0000E+00        1.0670E-05        2.0000E-06
        1.2700E+01        0.0000E+00        9.6200E-06        1.6700E-06
        1.3180E+01        0.0000E+00        8.2400E-06        1.6700E-06
        1.3690E+01        0.0000E+00        7.5300E-06        1.6700E-06
        1.4170E+01        0.0000E+00        6.8200E-06        3.3400E-06
        1.4650E+01        0.0000E+00        6.7700E-06        1.6700E-06
        1.5130E+01        0.0000E+00        6.3900E-06        1.6700E-06
        1.5610E+01        0.0000E+00        5.3500E-06        1.6700E-06
        1.6120E+01        0.0000E+00        6.3000E-06        1.6700E-06
