# entry-subent-pointer  : O0520--00-5-0 
# EXFOR reaction        : ['12-MG-0', ['P,X'], '10-NE-21,CUM,SIG'] 
# incident energy       : 1.37e+01 MeV - 1.60e+03 MeV 
# target                : Mg-0 
# product               : Ne-21 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : I.Leya 
# institute             : (2SWTZUR): Zurich 
# reference             : (J,NIM/B,145,449,1998) 
# year                  : 1998 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O05/O0520.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0520
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.37000E+01      8.00000E-01      4.52000E-02      2.60000E-03
      1.47000E+01      8.00000E-01      4.58000E-02      2.60000E-03
      1.98000E+01      8.00000E-01      2.98000E-02      2.40000E-03
      2.47000E+01      7.00000E-01      1.59000E-02      9.00000E-04
      3.17000E+01      7.00000E-01      1.56000E-02      9.00000E-04
      3.38000E+01      6.00000E-01      1.39000E-02      1.20000E-03
      3.45000E+01      7.00000E-01      1.75000E-02      9.00000E-04
      4.12000E+01      6.00000E-01      2.09000E-02      1.30000E-03
      5.00000E+01      8.00000E-01      3.78000E-02      2.10000E-03
      7.03000E+01      5.00000E-01      3.68000E-02      2.10000E-03
      1.16000E+02      1.00000E+00      3.26000E-02      1.80000E-03
      1.37000E+02      1.00000E+00      3.31000E-02      2.00000E-03
      1.80000E+02      1.00000E+00      3.00000E-02      1.80000E-03
      3.07000E+02      1.00000E+00      2.89000E-02      1.80000E-03
      3.80000E+02      1.00000E+00      2.96000E-02      2.40000E-03
      1.60000E+03      1.00000E+00      2.66000E-02      2.10000E-03
