# entry-subent-pointer  : D4101-003-0 
# EXFOR reaction        : (12-MG-0(P,X)11-NA-22,,SIG) 
# incident energy       : 1.0000e+01 MeV - 3.1750e+01 MeV 
# target                : Mg-0 
# product               : Na-22 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Batzel 
# institute             : (1USACRD): California Research and Development Co., Livermore,CA 
# reference             : (J,PR,93,280,1954) 
# year                  : 1954 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D41/D4101.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4101
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0000E+01        0.0000E+00        2.5000E-04        0.0000E+00
        1.7000E+01        0.0000E+00        9.0200E-03        0.0000E+00
        1.9500E+01        0.0000E+00        7.6200E-03        0.0000E+00
        2.1200E+01        0.0000E+00        5.4200E-03        0.0000E+00
        2.2600E+01        0.0000E+00        4.8900E-03        0.0000E+00
        2.4000E+01        0.0000E+00        5.2400E-03        0.0000E+00
        2.5400E+01        0.0000E+00        6.6000E-03        0.0000E+00
        2.6600E+01        0.0000E+00        7.8800E-03        0.0000E+00
        2.8100E+01        0.0000E+00        9.0600E-03        0.0000E+00
        2.9300E+01        0.0000E+00        1.1690E-02        0.0000E+00
        3.0500E+01        0.0000E+00        1.5340E-02        0.0000E+00
        3.1750E+01        0.0000E+00        1.9230E-02        0.0000E+00
