# entry-subent-pointer  : D0294-003-0 
# EXFOR reaction        : ['12-MG-24', ['P,INL'], '12-MG-24,PAR,DA'] 
# incident energy       : 4.9500e+01 MeV 
# target                : Mg-24 
# product               : Mg-24 
# level energy          : 6.4400e+00 MeV 
# MF-MT number          : 4 - 606 
# first author          : A.A.Rush 
# institute             : (2UK KCL): King's College London, London 
# reference             : (J,NP/A,104,340,1967) 
# year                  : 1967 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D02/D0294.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0294
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.25600E+01      0.00000E+00      4.10000E-04      1.30000E-05
      1.67500E+01      0.00000E+00      1.31000E-04      8.00000E-06
      2.09300E+01      0.00000E+00      2.15000E-04      1.10000E-05
      2.51000E+01      0.00000E+00      3.91000E-04      1.20000E-05
      2.92700E+01      0.00000E+00      4.16000E-04      1.10000E-05
      3.34300E+01      0.00000E+00      3.44000E-04      9.00000E-06
      3.75900E+01      0.00000E+00      2.39000E-04      7.00000E-06
      4.17400E+01      0.00000E+00      6.27000E-05      3.50000E-06
      4.79500E+01      0.00000E+00      2.86000E-05      1.10000E-06
      5.41300E+01      0.00000E+00      5.50000E-05      1.60000E-06
      6.02900E+01      0.00000E+00      7.25000E-05      2.20000E-06
      6.64300E+01      0.00000E+00      6.09000E-05      2.10000E-06
      7.25400E+01      0.00000E+00      6.67000E-05      2.10000E-06
      7.86200E+01      0.00000E+00      6.15000E-05      2.00000E-06
      8.46800E+01      0.00000E+00      5.02000E-05      1.70000E-06
      9.07000E+01      0.00000E+00      3.47000E-05      1.00000E-06
      9.66000E+01      0.00000E+00      2.54000E-05      2.90000E-06
      1.02560E+02      0.00000E+00      1.14000E-05      4.20000E-07
      1.08500E+02      0.00000E+00      9.07000E-06      9.70000E-07
      1.14410E+02      0.00000E+00      1.21000E-05      1.30000E-06
      1.20290E+02      0.00000E+00      1.33000E-05      1.40000E-06
      1.26150E+02      0.00000E+00      1.36000E-05      1.40000E-06
      1.31990E+02      0.00000E+00      1.10000E-05      1.10000E-06
      1.37800E+02      0.00000E+00      6.19000E-06      6.50000E-07
