# entry-subent-pointer  : C1999-003-0 
# EXFOR reaction        : (12-MG-25(P,2A)9-F-18,,SIG) 
# incident energy       : 1.7760e+01 MeV - 2.1650e+01 MeV 
# target                : Mg-25 
# product               : F-18 
# level energy          : - 
# MF-MT number          : 3 - 108 
# first author          : Cohen 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (J,PR,96,1617,1954) 
# year                  : 1954 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C19/C1999.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1999
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.7760E+01        0.0000E+00        1.0000E-04        0.0000E+00
        1.8400E+01        0.0000E+00        6.0000E-04        0.0000E+00
        1.8470E+01        0.0000E+00        5.0000E-04        0.0000E+00
        1.8480E+01        0.0000E+00        8.0000E-04        0.0000E+00
        1.8990E+01        0.0000E+00        1.3000E-03        0.0000E+00
        1.9320E+01        0.0000E+00        2.7000E-03        0.0000E+00
        1.9480E+01        0.0000E+00        2.2000E-03        0.0000E+00
        1.9510E+01        0.0000E+00        2.6000E-03        0.0000E+00
        1.9990E+01        0.0000E+00        4.3000E-03        0.0000E+00
        2.0010E+01        0.0000E+00        5.5000E-03        0.0000E+00
        2.0490E+01        0.0000E+00        5.5000E-03        0.0000E+00
        2.0490E+01        0.0000E+00        5.0000E-03        0.0000E+00
        2.0610E+01        0.0000E+00        6.0000E-03        0.0000E+00
        2.0800E+01        0.0000E+00        6.6000E-03        0.0000E+00
        2.1110E+01        0.0000E+00        8.7000E-03        0.0000E+00
        2.1300E+01        0.0000E+00        7.7000E-03        0.0000E+00
        2.1310E+01        0.0000E+00        8.8000E-03        0.0000E+00
        2.1600E+01        4.2000E-01        1.1000E-02        1.6000E-03
        2.1620E+01        0.0000E+00        1.2500E-02        0.0000E+00
        2.1650E+01        0.0000E+00        1.0000E-02        0.0000E+00
