# entry-subent-pointer  : C0828-012-0 
# EXFOR reaction        : ['12-MG-26', ['P,EL'], '12-MG-26,,DA'] 
# incident energy       : 1.7500e+01 MeV 
# target                : Mg-26 
# product               : Mg-26 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : G.M.Crawley 
# institute             : (1USAPTN): Princeton University, Princeton, NJ 
# reference             : (J,PR,167,1070,196803) 
# year                  : 1968 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0828.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0828
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.56000E+01      0.00000E+00      2.09200E+00      3.13800E-01
      2.08000E+01      0.00000E+00      1.00300E+00      1.50450E-01
      3.11000E+01      0.00000E+00      1.32800E-01      1.99200E-02
      3.63000E+01      0.00000E+00      3.91000E-02      5.86500E-03
      4.14000E+01      0.00000E+00      6.90000E-03      1.03500E-03
      5.17000E+01      0.00000E+00      1.75000E-02      2.62500E-03
      5.68000E+01      0.00000E+00      2.97000E-02      4.45500E-03
      6.19000E+01      0.00000E+00      4.25000E-02      6.37500E-03
      7.21000E+01      0.00000E+00      3.33000E-02      4.99500E-03
      7.72000E+01      0.00000E+00      2.70000E-02      4.05000E-03
      8.22000E+01      0.00000E+00      1.73000E-02      2.59500E-03
      9.22000E+01      0.00000E+00      6.90000E-03      1.03500E-03
      1.02200E+02      0.00000E+00      3.80000E-03      5.70000E-04
      1.12100E+02      0.00000E+00      4.40000E-03      6.60000E-04
      1.21900E+02      0.00000E+00      5.90000E-03      8.85000E-04
      1.31700E+02      0.00000E+00      9.10000E-03      1.36500E-03
