# entry-subent-pointer  : C0580-005-0 
# EXFOR reaction        : ['12-MG-26', ['P,INL'], '12-MG-26,PAR,DA'] 
# incident energy       : 8.0000e+02 MeV 
# target                : Mg-26 
# product               : Mg-26 
# level energy          : 5.2900e+00 MeV 
# MF-MT number          : 4 - 615 
# first author          : G.S.Blanpied 
# institute             : (1USASCA): University of South Carolina, Columbia, SC 
# reference             : (J,PR/C,25,422,198201) 
# year                  : 1982 
# facility              : (MESON): Meson facility 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C05/C0580.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0580
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      5.98000E+00      0.00000E+00      1.84000E-03      1.60000E-04
      6.51000E+00      0.00000E+00      1.53000E-03      1.40000E-04
      7.05000E+00      0.00000E+00      2.05000E-03      1.60000E-04
      7.58000E+00      0.00000E+00      1.90000E-03      7.60000E-05
      8.11000E+00      0.00000E+00      1.88000E-03      7.60000E-05
      8.65000E+00      0.00000E+00      1.87000E-03      7.60000E-05
      9.72000E+00      0.00000E+00      1.46000E-03      3.80000E-05
      1.02500E+01      0.00000E+00      1.17000E-03      3.40000E-05
      1.07900E+01      0.00000E+00      9.99000E-04      3.20000E-05
      1.18600E+01      0.00000E+00      6.61000E-04      3.30000E-05
      1.23900E+01      0.00000E+00      3.92000E-04      2.60000E-05
      1.29300E+01      0.00000E+00      3.06000E-04      2.30000E-05
      1.39900E+01      0.00000E+00      1.50000E-04      1.40000E-05
      1.45300E+01      0.00000E+00      6.90000E-05      9.90000E-06
      1.50600E+01      0.00000E+00      6.95000E-05      4.90000E-06
      1.56000E+01      0.00000E+00      5.63000E-05      4.00000E-06
      1.61300E+01      0.00000E+00      6.79000E-05      4.60000E-06
      1.72000E+01      0.00000E+00      8.97000E-05      3.20000E-06
      1.77300E+01      0.00000E+00      7.95000E-05      3.00000E-06
      1.82600E+01      0.00000E+00      7.63000E-05      3.00000E-06
      1.93300E+01      0.00000E+00      5.61000E-05      1.70000E-06
      1.98600E+01      0.00000E+00      4.48000E-05      1.60000E-06
      2.04000E+01      0.00000E+00      3.25000E-05      1.30000E-06
      2.09300E+01      0.00000E+00      2.07000E-05      9.30000E-07
      2.14600E+01      0.00000E+00      1.30000E-05      5.30000E-07
      2.19900E+01      0.00000E+00      7.48000E-06      4.30000E-07
      2.25300E+01      0.00000E+00      4.08000E-06      3.20000E-07
      2.35900E+01      0.00000E+00      3.82000E-06      4.30000E-07
      2.41200E+01      0.00000E+00      2.39000E-06      3.60000E-07
      2.46600E+01      0.00000E+00      2.78000E-06      3.60000E-07
      2.57200E+01      0.00000E+00      3.99000E-06      2.90000E-07
      2.62500E+01      0.00000E+00      3.15000E-06      2.70000E-07
      2.67800E+01      0.00000E+00      3.56000E-06      2.90000E-07
