# entry-subent-pointer  : D4167--00-2-1 
# EXFOR reaction        : ['42-MO-0', ['P,X'], '40-ZR-88,,SIG'] 
# incident energy       : 2.97e+01 MeV - 7.96e+01 MeV 
# target                : Mo-0 
# product               : Zr-88 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : F.Tarkanyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (C,2004SANTA,2,1658,2004) 
# year                  : 2004 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D41/D4167.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4167
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.97000E+01      0.00000E+00      5.60000E-03              NAN
      3.58000E+01      0.00000E+00      1.04000E-02              NAN
      3.69000E+01      0.00000E+00      8.40000E-03      1.00000E-03
      4.12000E+01      0.00000E+00      7.40000E-03              NAN
      4.27000E+01      0.00000E+00      7.90000E-03      9.00000E-04
      4.62000E+01      0.00000E+00      4.50000E-03              NAN
      4.78000E+01      0.00000E+00      4.20000E-03      5.00000E-04
      5.08000E+01      0.00000E+00      6.10000E-03              NAN
      5.26000E+01      0.00000E+00      5.20000E-03      6.00000E-04
      5.51000E+01      0.00000E+00      9.40000E-03              NAN
      5.70000E+01      0.00000E+00      8.40000E-03      1.00000E-03
      5.91000E+01      0.00000E+00      1.51000E-02              NAN
      6.12000E+01      0.00000E+00      1.62000E-02      1.80000E-03
      6.29000E+01      0.00000E+00      2.57000E-02              NAN
      6.62000E+01      0.00000E+00      2.87000E-02      3.10000E-03
      6.66000E+01      0.00000E+00      3.37000E-02              NAN
      7.09000E+01      0.00000E+00      3.97000E-02      4.30000E-03
      7.54000E+01      0.00000E+00      4.48000E-02      4.90000E-03
      7.96000E+01      3.00000E-01      4.51000E-02      4.90000E-03
