# entry-subent-pointer  : S0212-009-0 
# EXFOR reaction        : (42-MO-0(P,X)43-TC-95-G,,SIG) 
# incident energy       : 6.8100e+00 MeV - 2.1850e+01 MeV 
# target                : Mo-0 
# product               : Tc-95-G 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Zhao Wenrong 
# institute             : (3CPRAEP): China Institute of Atomic Energy, Beijing 
# reference             : (R,INDC(CPR)-44,17,1998) 
# year                  : 1998 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/S02/S0212.x4 
# nds                   : https://nds.iaea.org/EXFOR/S0212
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.1850E+01        7.0000E-02        1.1480E-01        4.7000E-03
        2.1160E+01        1.0000E-01        1.3120E-01        5.4000E-03
        2.0420E+01        9.0000E-02        1.2610E-01        5.3000E-03
        1.9690E+01        8.0000E-02        1.1740E-01        4.9000E-03
        1.8930E+01        9.0000E-02        1.1210E-01        4.8000E-03
        1.8160E+01        9.0000E-02        1.1700E-01        5.3000E-03
        1.6780E+01        1.0000E-01        1.0420E-01        4.3000E-03
        1.5900E+01        1.3000E-01        1.0200E-01        4.2000E-03
        1.4990E+01        9.0000E-02        9.8800E-02        4.1000E-03
        1.4070E+01        1.1000E-01        9.9700E-02        4.2000E-03
        1.3090E+01        1.1000E-01        9.4600E-02        4.1000E-03
        1.2220E+01        1.3000E-01        7.6900E-02        3.2000E-03
        1.2030E+01        1.4000E-01        7.2300E-02        3.6000E-03
        1.1070E+01        1.5000E-01        6.8800E-02        2.6000E-03
        9.8100E+00        1.7000E-01        5.9900E-02        2.5000E-03
        8.4200E+00        1.8000E-01        4.7200E-02        2.0000E-03
        6.8100E+00        2.3000E-01        2.4900E-02        1.1000E-03
