# entry-subent-pointer  : O0582--00-4-0 
# EXFOR reaction        : ['42-MO-100', ['P,INL'], '42-MO-100,PAR,DA'] 
# incident energy       : 5.10e+01 MeV 
# target                : Mo-100 
# product               : Mo-100 
# level energy          : 2.29e+00 MeV 
# MF-MT number          : 4 - ['69'] 
# first author          : M.Pignanelli 
# institute             : (2ITYMIL): Universita degli Studi di Milano + INFN Milano 
# reference             : (J,PR/C,29,434,1984) 
# year                  : 1984 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O05/O0582.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0582
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.70000E+00      5.00000E-01      4.60000E-04      1.38000E-05
      1.20000E+01      5.00000E-01      1.70000E-04      5.10000E-06
      1.49000E+01      5.00000E-01      1.40000E-04      4.20000E-06
      1.78000E+01      5.00000E-01      2.40000E-04      7.20000E-06
      2.23000E+01      5.00000E-01      1.60000E-04      4.80000E-06
      2.59000E+01      5.00000E-01      7.90000E-05      2.37000E-06
      2.98000E+01      5.00000E-01      3.90000E-05      1.17000E-06
      3.43000E+01      5.00000E-01      6.20000E-05      1.86000E-06
      3.79000E+01      5.00000E-01      4.50000E-05      1.35000E-06
      4.21000E+01      5.00000E-01      3.50000E-05      1.05000E-06
      6.15000E+01      5.00000E-01      8.20000E-06      2.46000E-07
      6.54000E+01      5.00000E-01      5.60000E-06      1.68000E-07
      7.28000E+01      5.00000E-01      2.40000E-06      7.20000E-08
      7.70000E+01      5.00000E-01      1.90000E-06      5.70000E-08
      8.19000E+01      5.00000E-01      1.70000E-06      5.10000E-08
      8.51000E+01      5.00000E-01      1.80000E-06      5.40000E-08
      8.87000E+01      5.00000E-01      2.50000E-06      7.50000E-08
      9.71000E+01      5.00000E-01      2.00000E-06      6.00000E-08
