# entry-subent-pointer  : D0805-032-1 
# EXFOR reaction        : (42-MO-100(P,X)42-MO-99,CUM,SIG,,,RECOM) 
# incident energy       : 1.1000e+01 MeV - 3.8000e+01 MeV 
# target                : Mo-100 
# product               : Mo-99 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Cervenak 
# institute             : (3CZRUJF): Nuclear Physics Institute of Czech Academy Sci., Rez 
# reference             : (J,NIM/B,380,32,2016) 
# year                  : 2016 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D08/D0805.x4 
# nds                   : https://nds.iaea.org/EXFOR/D0805
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.1000E+01        0.0000E+00        2.1500E-03        0.0000E+00
        1.1500E+01        0.0000E+00        2.8300E-03        0.0000E+00
        1.2000E+01        0.0000E+00        4.8100E-03        0.0000E+00
        1.2500E+01        0.0000E+00        7.6800E-03        0.0000E+00
        1.3000E+01        0.0000E+00        1.1500E-02        0.0000E+00
        1.3500E+01        0.0000E+00        1.6200E-02        0.0000E+00
        1.4000E+01        0.0000E+00        2.1700E-02        0.0000E+00
        1.4500E+01        0.0000E+00        2.8100E-02        0.0000E+00
        1.5000E+01        0.0000E+00        3.5100E-02        0.0000E+00
        1.5500E+01        0.0000E+00        4.2800E-02        0.0000E+00
        1.6000E+01        0.0000E+00        5.0800E-02        0.0000E+00
        1.6500E+01        0.0000E+00        5.9300E-02        0.0000E+00
        1.7000E+01        0.0000E+00        6.7900E-02        0.0000E+00
        1.7500E+01        0.0000E+00        7.6500E-02        0.0000E+00
        1.8000E+01        0.0000E+00        8.5100E-02        0.0000E+00
        1.8500E+01        0.0000E+00        9.3600E-02        0.0000E+00
        1.9000E+01        0.0000E+00        1.0170E-01        0.0000E+00
        1.9500E+01        0.0000E+00        1.0940E-01        0.0000E+00
        2.0000E+01        0.0000E+00        1.1670E-01        0.0000E+00
        2.0500E+01        0.0000E+00        1.2340E-01        0.0000E+00
        2.1000E+01        0.0000E+00        1.2950E-01        0.0000E+00
        2.1500E+01        0.0000E+00        1.3500E-01        0.0000E+00
        2.2000E+01        0.0000E+00        1.3990E-01        0.0000E+00
        2.2500E+01        0.0000E+00        1.4410E-01        0.0000E+00
        2.3000E+01        0.0000E+00        1.4770E-01        0.0000E+00
        2.3500E+01        0.0000E+00        1.5070E-01        0.0000E+00
        2.4000E+01        0.0000E+00        1.5320E-01        0.0000E+00
        2.4500E+01        0.0000E+00        1.5510E-01        0.0000E+00
        2.5000E+01        0.0000E+00        1.5650E-01        0.0000E+00
        2.5500E+01        0.0000E+00        1.5760E-01        0.0000E+00
        2.6000E+01        0.0000E+00        1.5840E-01        0.0000E+00
        2.6500E+01        0.0000E+00        1.5890E-01        0.0000E+00
        2.7000E+01        0.0000E+00        1.5920E-01        0.0000E+00
        2.7500E+01        0.0000E+00        1.5950E-01        0.0000E+00
        2.8000E+01        0.0000E+00        1.5960E-01        0.0000E+00
        2.8500E+01        0.0000E+00        1.5980E-01        0.0000E+00
        2.9000E+01        0.0000E+00        1.6000E-01        0.0000E+00
        2.9500E+01        0.0000E+00        1.6020E-01        0.0000E+00
        3.0000E+01        0.0000E+00        1.6060E-01        0.0000E+00
        3.0500E+01        0.0000E+00        1.6100E-01        0.0000E+00
        3.1000E+01        0.0000E+00        1.6160E-01        0.0000E+00
        3.1500E+01        0.0000E+00        1.6210E-01        0.0000E+00
        3.2000E+01        0.0000E+00        1.6270E-01        0.0000E+00
        3.2500E+01        0.0000E+00        1.6330E-01        0.0000E+00
        3.3000E+01        0.0000E+00        1.6380E-01        0.0000E+00
        3.3500E+01        0.0000E+00        1.6410E-01        0.0000E+00
        3.4000E+01        0.0000E+00        1.6430E-01        0.0000E+00
        3.4500E+01        0.0000E+00        1.6430E-01        0.0000E+00
        3.5000E+01        0.0000E+00        1.6400E-01        0.0000E+00
        3.5500E+01        0.0000E+00        1.6350E-01        0.0000E+00
        3.6000E+01        0.0000E+00        1.6280E-01        0.0000E+00
        3.6500E+01        0.0000E+00        1.6210E-01        0.0000E+00
        3.7000E+01        0.0000E+00        1.6150E-01        0.0000E+00
        3.7500E+01        0.0000E+00        1.6120E-01        0.0000E+00
        3.8000E+01        0.0000E+00        1.6170E-01        0.0000E+00
