# entry-subent-pointer  : D7017--00-8-0 
# EXFOR reaction        : ['60-ND-0', ['P,X'], '61-PM-149,CUM,SIG'] 
# incident energy       : 5.10e+00 MeV - 4.47e+01 MeV 
# target                : Nd-0 
# product               : Pm-149 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : S.C.Yang 
# institute             : (3KORKAE): Korea Atomic Energy Research Instit. (KAERI), Daejeon 
# reference             : (J,NIM/B,362,142,2015) 
# year                  : 2015 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D70/D7017.x4 
# nds                   : https://nds.iaea.org/EXFOR/D7017
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.47000E+01      3.00000E-01      1.35400E-02      7.60000E-04
      4.37000E+01      3.00000E-01      1.38900E-02      7.70000E-04
      4.27000E+01      3.00000E-01      1.44100E-02      7.90000E-04
      4.17000E+01      3.00000E-01      1.35800E-02      7.50000E-04
      4.07000E+01      3.00000E-01      1.48300E-02      8.20000E-04
      3.97000E+01      3.00000E-01      1.31600E-02      7.40000E-04
      3.86000E+01      3.00000E-01      1.45900E-02      8.00000E-04
      3.75000E+01      3.00000E-01      1.40900E-02      7.80000E-04
      3.64000E+01      3.00000E-01      1.45900E-02      8.00000E-04
      3.53000E+01      3.00000E-01      1.57700E-02      8.50000E-04
      3.41000E+01      3.00000E-01      1.41300E-02      7.70000E-04
      3.30000E+01      3.00000E-01      1.47500E-02      8.00000E-04
      3.17000E+01      4.00000E-01      1.49500E-02      8.10000E-04
      3.05000E+01      4.00000E-01      1.46500E-02      7.90000E-04
      2.92000E+01      4.00000E-01      1.49900E-02      8.10000E-04
      2.79000E+01      4.00000E-01      1.62600E-02      8.80000E-04
      2.65000E+01      4.00000E-01      1.51500E-02      8.20000E-04
      2.50000E+01      4.00000E-01      1.56700E-02      8.50000E-04
      2.35000E+01      4.00000E-01      1.72700E-02      9.20000E-04
      2.19000E+01      5.00000E-01      1.86400E-02      1.00000E-03
      2.02000E+01      5.00000E-01      2.40700E-02      1.28000E-03
      1.84000E+01      5.00000E-01      3.48700E-02      1.84000E-03
      1.65000E+01      6.00000E-01      5.29600E-02      2.77000E-03
      1.43000E+01      6.00000E-01      5.90600E-02      2.64000E-03
      1.20000E+01      7.00000E-01      4.28100E-02      1.92000E-03
      9.20000E+00      9.00000E-01      1.73500E-02      8.00000E-04
      7.30000E+00      1.00000E+00      6.33000E-03      3.20000E-04
      5.10000E+00      1.30000E+00      1.29000E-03      9.00000E-05
