# entry-subent-pointer  : O1198-023-0 
# EXFOR reaction        : ['10-NE-22', ['P,INL'], '10-NE-22,PAR,DA'] 
# incident energy       : 3.5200e+01 MeV 
# target                : Ne-22 
# product               : Ne-22 
# level energy          : 1.2700e+00 MeV 
# MF-MT number          : 4 - 601 
# first author          : E.Fabrici 
# institute             : (2ITYMIL): Universita degli Studi di Milano + INFN Milano 
# reference             : (J,PR/C,21,844,1980) 
# year                  : 1980 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O11/O1198.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1198
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.09100E+01      0.00000E+00      2.30000E-02      0.00000E+00
      2.71700E+01      0.00000E+00      2.13000E-02      0.00000E+00
      3.28900E+01      0.00000E+00      1.78000E-02      0.00000E+00
      3.86100E+01      0.00000E+00      1.25000E-02      0.00000E+00
      4.47900E+01      0.00000E+00      7.35000E-03      0.00000E+00
      5.09900E+01      0.00000E+00      4.44000E-03      0.00000E+00
      5.71800E+01      0.00000E+00      3.74000E-03      0.00000E+00
      6.33400E+01      0.00000E+00      4.12000E-03      0.00000E+00
      6.94800E+01      0.00000E+00      4.28000E-03      0.00000E+00
      7.24900E+01      0.00000E+00      3.36000E-03      0.00000E+00
      7.86000E+01      0.00000E+00      2.43000E-03      0.00000E+00
      8.41600E+01      0.00000E+00      1.53000E-03      0.00000E+00
      8.97100E+01      0.00000E+00      9.80000E-04      0.00000E+00
      9.55900E+01      0.00000E+00      7.25000E-04      0.00000E+00
      1.01590E+02      0.00000E+00      6.40000E-04      0.00000E+00
      1.07560E+02      0.00000E+00      5.80000E-04      0.00000E+00
      1.13520E+02      0.00000E+00      4.70000E-04      0.00000E+00
      1.19450E+02      0.00000E+00      3.70000E-04      0.00000E+00
      1.25140E+02      0.00000E+00      3.05000E-04      0.00000E+00
      1.31020E+02      0.00000E+00      1.90000E-04      0.00000E+00
      1.36880E+02      0.00000E+00      1.80000E-04      0.00000E+00
      1.42720E+02      0.00000E+00      1.80000E-04      0.00000E+00
      1.48540E+02      0.00000E+00      2.10000E-04      0.00000E+00
      1.54120E+02      0.00000E+00      2.30000E-04      0.00000E+00
      1.59400E+02      0.00000E+00      2.00000E-04      0.00000E+00
      1.64680E+02      0.00000E+00      1.60000E-04      0.00000E+00
      1.70460E+02      0.00000E+00      8.00000E-05      0.00000E+00
