# entry-subent-pointer  : A0100-011-8 
# EXFOR reaction        : ['28-NI-0', ['P,X'], '26-FE-59,CUM,SIG'] 
# incident energy       : 7.74e+01 MeV - 1.99e+02 MeV 
# target                : Ni-0 
# product               : Fe-59 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : R.Michel 
# institute             : (2GERKLN): Universitaet zu Koeln 
# reference             : (J,NP/A,441,617,1985) 
# year                  : 1985 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A01/A0100.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0100
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.98900E+02      1.40000E+00      1.97000E-04      5.30000E-05
      1.93600E+02      1.50000E+00      2.03000E-04      4.90000E-05
      1.88400E+02      1.50000E+00      1.98000E-04      4.40000E-05
      1.82900E+02      1.60000E+00      1.97000E-04      5.30000E-05
      1.77400E+02      1.60000E+00      2.06000E-04      4.90000E-05
      1.71700E+02      1.70000E+00      2.06000E-04      4.90000E-05
      1.65900E+02      1.70000E+00      1.75000E-04      3.90000E-05
      1.65300E+02      2.00000E-01      1.73000E-04      2.90000E-05
      1.59900E+02      1.70000E+00      1.69000E-04      4.40000E-05
      1.53900E+02      1.80000E+00      2.01000E-04      6.40000E-05
      1.47900E+02      1.40000E+00      1.65000E-04      3.60000E-05
      1.40200E+02      4.00000E-01      1.89000E-04      4.20000E-05
      1.32200E+02      1.50000E+00      1.55000E-04      3.00000E-05
      1.24000E+02      1.60000E+00      1.73000E-04      3.30000E-05
      1.15300E+02      1.60000E+00      1.59000E-04      2.70000E-05
      1.06700E+02      1.70000E+00      1.58000E-04      3.60000E-05
      9.75000E+01      1.70000E+00      1.53000E-04      3.10000E-05
      8.77000E+01      1.70000E+00      1.50000E-04      2.60000E-05
      7.74000E+01      1.80000E+00      1.34000E-04      3.10000E-05
