# entry-subent-pointer  : O0442--00-2-0 
# EXFOR reaction        : ['28-NI-58', ['P,INL'], '28-NI-58,PAR,DA'] 
# incident energy       : 4.00e+01 MeV 
# target                : Ni-58 
# product               : Ni-58 
# level energy          : 1.45e+00 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : N.Lingappa 
# institute             : (1USAMIN): University of Minnesota, Minneapolis, MN 
# reference             : (J,PR/C,2,1329,1970) 
# year                  : 1970 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O04/O0442.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0442
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.02000E+01      0.00000E+00      1.60000E-02      8.00000E-04
      1.27000E+01      0.00000E+00      1.52800E-02      7.50000E-04
      1.53000E+01      0.00000E+00      1.26900E-02      6.00000E-04
      1.78000E+01      0.00000E+00      1.13300E-02      5.50000E-04
      2.04000E+01      0.00000E+00      1.09500E-02      5.50000E-04
      2.54000E+01      0.00000E+00      8.59000E-03      4.00000E-04
      3.05000E+01      0.00000E+00      5.23000E-03      2.50000E-04
      3.56000E+01      0.00000E+00      2.64000E-03      1.30000E-04
      4.06000E+01      0.00000E+00      2.23000E-03      1.10000E-04
      4.57000E+01      0.00000E+00      2.78000E-03      1.30000E-04
      5.08000E+01      0.00000E+00      2.97000E-03      1.50000E-04
      5.58000E+01      0.00000E+00      2.01000E-03      1.00000E-04
      6.09000E+01      0.00000E+00      1.15000E-03      5.00000E-05
      6.59000E+01      0.00000E+00      7.23000E-04      3.00000E-05
      7.10000E+01      0.00000E+00      7.51000E-04      3.00000E-05
      7.60000E+01      0.00000E+00      9.09000E-04      4.00000E-05
      8.10000E+01      0.00000E+00      7.50000E-04      4.00000E-05
      8.60000E+01      0.00000E+00      5.74000E-04      3.00000E-05
      9.10000E+01      0.00000E+00      4.50000E-04      2.00000E-05
