# entry-subent-pointer  : O0135--01-0-0 
# EXFOR reaction        : ['28-NI-58', ['P,INL'], '28-NI-58,PAR,DA,,,EXP'] 
# incident energy       : 7.96e+02 MeV 
# target                : Ni-58 
# product               : Ni-58 
# level energy          : 4.76e+00 MeV 
# MF-MT number          : 4 - ['82'] 
# first author          : G.S.Kyle 
# institute             : (1USAMIN): University of Minnesota, Minneapolis, MN 
# reference             : (J,PL/B,91,353,80) 
# year                  : 1980 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O01/O0135.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0135
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      5.59000E+00      8.00000E-02      1.39000E-03      6.95000E-05
      5.83000E+00      8.00000E-02      2.68000E-03      1.34000E-04
      6.18000E+00      8.00000E-02      3.27000E-03      1.63500E-04
      6.42000E+00      8.00000E-02      4.54000E-03      2.27000E-04
      7.01000E+00      8.00000E-02      4.54000E-03      2.27000E-04
      7.35000E+00      8.00000E-02      3.38000E-03      1.69000E-04
      7.59000E+00      8.00000E-02      4.54000E-03      2.27000E-04
      8.18000E+00      8.00000E-02      5.18000E-03      2.59000E-04
      8.59000E+00      8.00000E-02      4.54000E-03      2.27000E-04
      8.77000E+00      8.00000E-02      5.18000E-03      2.59000E-04
      9.18000E+00      8.00000E-02      7.20000E-03      3.60000E-04
      9.35000E+00      8.00000E-02      4.54000E-03      2.27000E-04
      9.93000E+00      8.00000E-02      4.39000E-03      2.19500E-04
      1.05200E+01      8.00000E-02      3.73000E-03      1.86500E-04
      1.08700E+01      8.00000E-02      3.27000E-03      1.63500E-04
      1.11000E+01      8.00000E-02      2.35000E-03      1.17500E-04
      1.16800E+01      8.00000E-02      1.93000E-03      9.65000E-05
      1.20200E+01      8.00000E-02      1.00000E-03      5.00000E-05
      1.22500E+01      8.00000E-02      8.80000E-04      4.40000E-05
      1.28300E+01      8.00000E-02      5.18000E-04      2.59000E-05
      1.31700E+01      8.00000E-02      2.68000E-04      1.34000E-05
      1.36900E+01      8.00000E-02      1.93000E-04      9.65000E-06
      1.42800E+01      8.00000E-02      1.69000E-04      8.45000E-06
      1.45700E+01      8.00000E-02      1.93000E-04      9.65000E-06
      1.48700E+01      8.00000E-02      2.68000E-04      1.34000E-05
      1.51600E+01      8.00000E-02      3.27000E-04      1.63500E-05
      1.51700E+01      8.00000E-02      5.18000E-04      2.59000E-05
      1.57500E+01      8.00000E-02      4.39000E-04      2.19500E-05
      1.63400E+01      8.00000E-02      3.85000E-04      1.92500E-05
      1.66900E+01      8.00000E-02      4.54000E-04      2.27000E-05
      1.69300E+01      8.00000E-02      4.54000E-04      2.27000E-05
      1.75000E+01      8.00000E-02      2.68000E-04      1.34000E-05
      1.78500E+01      8.00000E-02      1.93000E-04      9.65000E-06
      1.84400E+01      8.00000E-02      1.93000E-04      9.65000E-06
      1.86600E+01      8.00000E-02      1.00000E-04      5.00000E-06
      1.90100E+01      8.00000E-02      8.80000E-05      4.40000E-06
      1.92400E+01      8.00000E-02      6.31000E-05      3.15500E-06
      1.98200E+01      8.00000E-02      5.18000E-05      2.59000E-06
      2.02300E+01      8.00000E-02      5.18000E-05      2.59000E-06
      2.07600E+01      8.00000E-02      6.31000E-05      3.15500E-06
      2.10000E+01      8.00000E-02      7.20000E-05      3.60000E-06
      2.15800E+01      8.00000E-02      6.31000E-05      3.15500E-06
      2.19300E+01      8.00000E-02      5.18000E-05      2.59000E-06
      2.21700E+01      8.00000E-02      6.31000E-05      3.15500E-06
      2.27500E+01      8.00000E-02      5.18000E-05      2.59000E-06
      2.31000E+01      8.00000E-02      5.18000E-05      2.59000E-06
      2.33300E+01      8.00000E-02      3.73000E-05      1.86500E-06
      2.39100E+01      8.00000E-02      3.73000E-05      1.86500E-06
      2.42600E+01      8.00000E-02      2.68000E-05      1.34000E-06
      2.44800E+01      8.00000E-02      1.39000E-05      6.95000E-07
      2.50700E+01      8.00000E-02      1.26000E-05      6.30000E-07
      2.54200E+01      8.00000E-02      1.00000E-05      5.00000E-07
      2.56500E+01      8.00000E-02      7.20000E-06      3.60000E-07
      2.62200E+01      8.00000E-02      4.54000E-06      2.27000E-07
      2.65800E+01      8.00000E-02      4.54000E-06      2.27000E-07
      2.68100E+01      8.00000E-02      5.18000E-06      2.59000E-07
      2.72200E+01      8.00000E-02      4.54000E-06      2.27000E-07
      2.77400E+01      8.00000E-02      3.73000E-06      1.86500E-07
      2.79800E+01      8.00000E-02      4.54000E-06      2.27000E-07
      2.85600E+01      8.00000E-02      3.73000E-06      1.86500E-07
      2.89100E+01      8.00000E-02      3.73000E-06      1.86500E-07
      2.91500E+01      8.00000E-02      3.27000E-06      1.63500E-07
      2.97300E+01      8.00000E-02      2.68000E-06      1.34000E-07
      3.03100E+01      8.00000E-02      2.68000E-06      1.34000E-07
      3.07200E+01      8.00000E-02      2.35000E-06      1.17500E-07
      3.08900E+01      8.00000E-02      1.69000E-06      8.45000E-08
      3.14700E+01      8.00000E-02      1.00000E-06      5.00000E-08
