# entry-subent-pointer  : D4078--00-2-2 
# EXFOR reaction        : ['28-NI-58', ['P,X'], '27-CO-56,,SIG'] 
# incident energy       : 2.45e+01 MeV - 4.56e+01 MeV 
# target                : Ni-58 
# product               : Co-56 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : P.Reimer 
# institute             : (2GERJUL): Forschungszentrum Juelich 
# reference             : (J,RCA,80,113,1998) 
# year                  : 1998 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D40/D4078.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4078
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.56000E+01      2.00000E-01      2.19000E-01      4.60000E-02
      4.48000E+01      2.00000E-01      2.90000E-01      5.50000E-02
      4.26000E+01      3.00000E-01      2.81000E-01      5.90000E-02
      4.15000E+01      4.00000E-01      2.82000E-01      5.90000E-02
      3.95000E+01      4.00000E-01      3.00000E-01      5.70000E-02
      3.79000E+01      5.00000E-01      2.74000E-01      5.80000E-02
      3.70000E+01      5.00000E-01      2.68000E-01      5.10000E-02
      3.44000E+01      6.00000E-01      2.62000E-01      5.50000E-02
      3.27000E+01      6.00000E-01      1.46000E-01      2.80000E-02
      3.18000E+01      6.00000E-01      1.31000E-01      2.80000E-02
      3.17000E+01      6.00000E-01      1.78000E-01      3.40000E-02
      3.02000E+01      7.00000E-01      1.19000E-01      2.30000E-02
      2.89000E+01      7.00000E-01      4.20000E-02      9.00000E-03
      2.82000E+01      7.00000E-01      5.70000E-02      1.10000E-02
      2.75000E+01      8.00000E-01      1.80000E-02      3.00000E-03
      2.72000E+01      8.00000E-01      1.40000E-02      3.00000E-03
      2.60000E+01      8.00000E-01      5.00000E-03      1.00000E-03
      2.45000E+01      9.00000E-01      1.70000E-03      4.00000E-04
