# entry-subent-pointer  : D4037-002-0 
# EXFOR reaction        : ['28-NI-61', ['P,A'], '27-CO-58-M,,SIG'] 
# incident energy       : 6.30e+00 MeV - 1.85e+01 MeV 
# target                : Ni-61 
# product               : Co-58-M 
# level energy          : - 
# MF-MT number          : 3 - 107 
# first author          : S.Sudar 
# institute             : (2GERJUL): Forschungszentrum Juelich 
# reference             : (J,PR/C,48,3115,1993) 
# year                  : 1993 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D40/D4037.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4037
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      6.30000E+00      6.00000E-01      3.70000E-04      5.00000E-05
      6.50000E+00      6.00000E-01      1.15000E-03      2.30000E-04
      7.30000E+00      5.00000E-01      2.00000E-03      3.10000E-04
      8.00000E+00      5.00000E-01      6.14000E-03      8.60000E-04
      8.40000E+00      5.00000E-01      6.50000E-03      9.30000E-04
      8.90000E+00      5.00000E-01      8.90000E-03      1.30000E-03
      9.50000E+00      5.00000E-01      1.42000E-02      2.00000E-03
      1.03000E+01      4.00000E-01      1.87000E-02      2.70000E-03
      1.20000E+01      4.00000E-01      2.49000E-02      3.50000E-03
      1.33000E+01      3.00000E-01      3.24000E-02      4.60000E-03
      1.40000E+01      3.00000E-01      3.18000E-02      4.40000E-03
      1.52000E+01      3.00000E-01      3.51000E-02      5.00000E-03
      1.69000E+01      3.00000E-01      3.19000E-02      4.50000E-03
      1.85000E+01      2.00000E-01      2.77000E-02      3.90000E-03
