# entry-subent-pointer  : O1199-003-0 
# EXFOR reaction        : ['8-O-18', ['P,EL'], '8-O-18,,DA'] 
# incident energy       : 2.62e+01 MeV 
# target                : O-18 
# product               : O-18 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : E.Fabrici 
# institute             : (2ITYMIL): Universita degli Studi di Milano + INFN Milano 
# reference             : (J,PR/C,21,830,1980) 
# year                  : 1980 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O11/O1199.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1199
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.58200E+01      0.00000E+00      1.26000E+00      0.00000E+00
      2.10900E+01      0.00000E+00      7.87000E-01      0.00000E+00
      2.63400E+01      0.00000E+00      4.49000E-01      0.00000E+00
      3.68000E+01      0.00000E+00      9.33000E-02      0.00000E+00
      4.20400E+01      0.00000E+00      3.51000E-02      0.00000E+00
      4.72500E+01      0.00000E+00      2.00000E-02      0.00000E+00
      5.24000E+01      0.00000E+00      2.33000E-02      0.00000E+00
      5.74000E+01      0.00000E+00      2.88000E-02      0.00000E+00
      6.27500E+01      0.00000E+00      2.80000E-02      0.00000E+00
      6.78900E+01      0.00000E+00      2.46000E-02      0.00000E+00
      7.29900E+01      0.00000E+00      1.85000E-02      0.00000E+00
      7.80700E+01      0.00000E+00      1.25000E-02      0.00000E+00
      8.31300E+01      0.00000E+00      7.15000E-03      0.00000E+00
      8.81700E+01      0.00000E+00      4.05000E-03      0.00000E+00
      9.31800E+01      0.00000E+00      2.33000E-03      0.00000E+00
      9.81700E+01      0.00000E+00      1.65000E-03      0.00000E+00
      1.03100E+02      0.00000E+00      1.44000E-03      0.00000E+00
      1.08000E+02      0.00000E+00      1.33000E-03      0.00000E+00
      1.12990E+02      0.00000E+00      1.24000E-03      0.00000E+00
      1.17890E+02      0.00000E+00      1.13000E-03      0.00000E+00
      1.22750E+02      0.00000E+00      9.82000E-04      0.00000E+00
      1.27610E+02      0.00000E+00      8.23000E-04      0.00000E+00
      1.32440E+02      0.00000E+00      7.45000E-04      0.00000E+00
      1.37250E+02      0.00000E+00      6.26000E-04      0.00000E+00
      1.42040E+02      0.00000E+00      6.35000E-04      0.00000E+00
      1.46830E+02      0.00000E+00      6.02000E-04      0.00000E+00
      1.51590E+02      0.00000E+00      5.01000E-04      0.00000E+00
      1.56340E+02      0.00000E+00      4.07000E-04      0.00000E+00
      1.61090E+02      0.00000E+00      3.12000E-04      0.00000E+00
      1.65820E+02      0.00000E+00      2.19000E-04      0.00000E+00
