# entry-subent-pointer  : E2043--02-2-0 
# EXFOR reaction        : ['76-OS-192', ['P,INL'], '76-OS-192,PAR,DA'] 
# incident energy       : 6.50e+01 MeV 
# target                : Os-192 
# product               : Os-192 
# level energy          : 2.06e-01 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : T.Ichihara 
# institute             : (2JPNKTO): Kyoto University , Kyoto 
# reference             : (J,PR/C,36,(5),1754,198711) 
# year                  : 1987 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E20/E2043.x4 
# nds                   : https://nds.iaea.org/EXFOR/E2043
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.61200E+01      0.00000E+00      2.26300E-02              NAN
      1.71200E+01      0.00000E+00      1.99000E-02              NAN
      1.81200E+01      0.00000E+00      1.42600E-02              NAN
      1.91300E+01      0.00000E+00      1.61200E-02              NAN
      2.01300E+01      0.00000E+00      7.35600E-03              NAN
      2.11300E+01      0.00000E+00      4.35400E-03              NAN
      2.31400E+01      0.00000E+00      5.11500E-03              NAN
      2.41400E+01      0.00000E+00      4.44000E-03              NAN
      2.51400E+01      0.00000E+00      4.16300E-03              NAN
      2.61500E+01      0.00000E+00      5.85100E-03              NAN
      2.71500E+01      0.00000E+00      7.69100E-03              NAN
      2.81500E+01      0.00000E+00      1.13200E-02              NAN
      2.91600E+01      0.00000E+00      1.51100E-02              NAN
      3.01600E+01      0.00000E+00      1.18700E-02              NAN
      3.11600E+01      0.00000E+00      7.17800E-03              NAN
      3.21700E+01      0.00000E+00      5.24500E-03              NAN
      3.31700E+01      0.00000E+00      3.77100E-03              NAN
      3.41800E+01      0.00000E+00      2.54400E-03              NAN
      3.51800E+01      0.00000E+00      1.61300E-03              NAN
      3.61800E+01      0.00000E+00      9.91500E-04              NAN
      3.82000E+01      0.00000E+00      7.96400E-04              NAN
      4.02100E+01      0.00000E+00      1.56100E-03              NAN
      4.22200E+01      0.00000E+00      2.25900E-03              NAN
      4.42200E+01      0.00000E+00      2.38200E-03              NAN
      4.62300E+01      0.00000E+00      1.90100E-03              NAN
      4.82300E+01      0.00000E+00      1.16700E-03              NAN
      5.02400E+01      0.00000E+00      5.74000E-04              NAN
      5.22400E+01      0.00000E+00      3.63400E-04              NAN
      5.42500E+01      0.00000E+00      4.77900E-04              NAN
      5.62600E+01      0.00000E+00      6.87800E-04              NAN
      5.82600E+01      0.00000E+00      7.74400E-04              NAN
      6.02600E+01      0.00000E+00      6.94000E-04              NAN
      6.22700E+01      0.00000E+00      4.72000E-04              NAN
      6.42700E+01      0.00000E+00      2.77700E-04              NAN
      6.62700E+01      0.00000E+00      1.61000E-04              NAN
      6.82800E+01      0.00000E+00      1.52700E-04              NAN
      7.02800E+01      0.00000E+00      2.07500E-04              NAN
