# entry-subent-pointer  : A0181-004-0 
# EXFOR reaction        : ['15-P-31', ['P,X'], '15-P-30,CUM,SIG'] 
# incident energy       : 1.9600e+01 MeV - 3.4400e+01 MeV 
# target                : P-31 
# product               : P-30 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : S.M.Sahakundu 
# institute             : (2GERJUL): Forschungszentrum Juelich, Juelich 
# reference             : (J,ARI,30,3,1979) 
# year                  : 1979 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A01/A0181.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0181
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.96000E+01      0.00000E+00      1.05000E-02      0.00000E+00
      2.03000E+01      0.00000E+00      5.00000E-02      0.00000E+00
      2.09000E+01      0.00000E+00      7.00000E-02      0.00000E+00
      2.20000E+01      0.00000E+00      8.00000E-02      0.00000E+00
      2.30000E+01      0.00000E+00      1.80000E-01      0.00000E+00
      2.36000E+01      0.00000E+00      2.00000E-01      0.00000E+00
      2.50000E+01      0.00000E+00      2.40000E-01      0.00000E+00
      3.00000E+01      0.00000E+00      1.41000E-01      0.00000E+00
      3.05000E+01      0.00000E+00      1.32000E-01      0.00000E+00
      3.40000E+01      0.00000E+00      5.10000E-02      0.00000E+00
      3.44000E+01      0.00000E+00      4.60000E-02      0.00000E+00
