# entry-subent-pointer  : O0500--05-6-0 
# EXFOR reaction        : ['82-PB-0', ['P,X'], '54-XE-127,CUM,SIG'] 
# incident energy       : 1.02e+02 MeV - 2.59e+03 MeV 
# target                : Pb-0 
# product               : Xe-127 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : M.Gloris 
# institute             : (2GERUH): University Hannover (previously Tech.University Hannover) 
# reference             : (J,NIM/A,463,593,2001) 
# year                  : 2001 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O05/O0500.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0500
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.02000E+02      2.00000E+00      2.54000E-05      6.50000E-06
      1.12000E+02      2.00000E+00      3.24000E-05      5.50000E-06
      1.22000E+02      2.00000E+00      4.47000E-05      8.20000E-06
      1.22000E+02      1.00000E+00      5.72000E-05      8.80000E-06
      1.23000E+02      2.00000E+00      5.36000E-05      8.00000E-06
      1.29000E+02      1.00000E+00      5.83000E-05      1.08000E-05
      1.30000E+02      1.00000E+00      7.04000E-05      1.33000E-05
      1.32000E+02      2.00000E+00      7.85000E-05      1.25000E-05
      1.37000E+02      1.00000E+00      7.64000E-05      1.35000E-05
      1.43000E+02      1.00000E+00      9.12000E-05      1.36000E-05
      1.44000E+02      1.00000E+00      8.00000E-05      9.90000E-06
      1.51000E+02      1.00000E+00      1.08000E-04      1.70000E-05
      1.51000E+02      1.00000E+00      1.01000E-04      1.50000E-05
      1.60000E+02      1.00000E+00      1.28000E-04      1.30000E-05
      1.64000E+02      1.00000E+00      1.40000E-04      1.90000E-05
      1.67000E+02      1.00000E+00      1.42000E-04      1.60000E-05
      1.70000E+02      1.00000E+00      1.51000E-04      2.00000E-05
      2.39000E+02      2.00000E+00      2.70000E-04      4.30000E-05
      2.72000E+02      1.00000E+00      2.68000E-04      3.50000E-05
      3.22000E+02      2.00000E+00      4.00000E-04      6.50000E-05
      5.53000E+02      2.00000E+00      6.58000E-04      9.30000E-05
      7.59000E+02      1.00000E+00      9.69000E-04      1.42000E-04
      9.96000E+02      1.00000E+00      1.01000E-03      1.40000E-04
      1.17000E+03      1.00000E+00      1.67000E-03      3.30000E-04
      1.39000E+03      1.00000E+00      1.98000E-03      2.50000E-04
      1.57000E+03      1.00000E+00      2.58000E-03      3.60000E-04
      2.59000E+03      1.00000E+00      6.95000E-03      8.80000E-04
