# entry-subent-pointer  : O0225-128-0 
# EXFOR reaction        : ['82-PB-208', ['P,INL'], '82-PB-208,PAR,DA,,,EXP'] 
# incident energy       : 3.5000e+01 MeV 
# target                : Pb-208 
# product               : Pb-208 
# level energy          : 7.0800e+00 MeV 
# MF-MT number          : 4 - 648 
# first author          : W.T.Wagner 
# institute             : (1USAMSU): Michigan State University, East Lansing, MI 
# reference             : (J,PR/C,12,757,75) 
# year                  : 1975 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0225.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0225
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.23000E+01      6.00000E-01      1.80000E-04      5.40000E-06
      1.39000E+01      6.00000E-01      7.70000E-05      2.31000E-06
      1.99000E+01      6.00000E-01      3.70000E-05      1.11000E-06
      2.43000E+01      6.00000E-01      4.60000E-05      1.38000E-06
      2.86000E+01      6.00000E-01      2.81000E-05      8.43000E-07
      3.52000E+01      6.00000E-01      4.44000E-05      1.33200E-06
      4.00000E+01      6.00000E-01      2.92000E-05      8.76000E-07
      5.13000E+01      6.00000E-01      5.40000E-05      1.62000E-06
      6.39000E+01      6.00000E-01      2.83000E-05      8.49000E-07
      7.04000E+01      6.00000E-01      2.84000E-05      8.52000E-07
      7.47000E+01      6.00000E-01      1.60000E-05      4.80000E-07
      8.17000E+01      6.00000E-01      1.18000E-05      3.54000E-07
      9.20000E+01      6.00000E-01      5.50000E-06      1.65000E-07
      1.01700E+02      6.00000E-01      1.11000E-05      3.33000E-07
