# entry-subent-pointer  : O0225--00-7-0 
# EXFOR reaction        : ['82-PB-208', ['P,INL'], '82-PB-208,PAR,DA,,,EXP'] 
# incident energy       : 3.50e+01 MeV 
# target                : Pb-208 
# product               : Pb-208 
# level energy          : 3.95e+00 MeV 
# MF-MT number          : 4 - ['55'] 
# first author          : W.T.Wagner 
# institute             : (1USAMSU): Michigan State University, East Lansing, MI 
# reference             : (J,PR/C,12,757,75) 
# year                  : 1975 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0225.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0225
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.85000E+01      5.00000E-01      1.70000E-05      4.25000E-07
      2.53000E+01      5.00000E-01      3.70000E-05      9.25000E-07
      3.04000E+01      5.00000E-01      2.00000E-05      5.00000E-07
      3.41000E+01      5.00000E-01      1.05000E-05      2.62500E-07
      3.84000E+01      5.00000E-01      1.11000E-05      2.77500E-07
      4.45000E+01      5.00000E-01      1.12000E-05      2.80000E-07
      4.71000E+01      5.00000E-01      1.39000E-05      3.47500E-07
      5.64000E+01      5.00000E-01      1.50000E-05      3.75000E-07
      6.95000E+01      5.00000E-01      4.50000E-06      1.12500E-07
      7.31000E+01      5.00000E-01      2.10000E-06      5.25000E-08
      8.03000E+01      5.00000E-01      5.00000E-06      1.25000E-07
      8.65000E+01      5.00000E-01      6.00000E-07      1.50000E-08
      1.06500E+02      5.00000E-01      6.00000E-07      1.50000E-08
