# entry-subent-pointer  : E1842-216-0 
# EXFOR reaction        : ['46-PD-106', ['P,X'], '1-H-1,,DE'] 
# incident energy       : 1.80e+01 MeV 
# target                : Pd-106 
# product               : H-1 
# level energy          : 4.10e+00 MeV 
# MF-MT number          : 5 - residual 
# first author          : Y.Watanabe 
# institute             : (2JPNKYU): Kyushu University , Fukuoka 
# reference             : (J,PR/C,36,(4),1325,198710) 
# year                  : 1987 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E18/E1842.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1842
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      4.10000E+00      0.00000E+00      5.93800E-09      0.00000E+00
      4.30000E+00      0.00000E+00      7.23100E-09      0.00000E+00
      4.50000E+00      0.00000E+00      8.20700E-09      0.00000E+00
      4.70000E+00      0.00000E+00      9.48300E-09      0.00000E+00
      4.90000E+00      0.00000E+00      1.07980E-08      0.00000E+00
      5.10000E+00      0.00000E+00      1.19440E-08      0.00000E+00
      5.30000E+00      0.00000E+00      1.30950E-08      0.00000E+00
      5.50000E+00      0.00000E+00      1.42010E-08      0.00000E+00
      5.70000E+00      0.00000E+00      1.58140E-08      0.00000E+00
      5.90000E+00      0.00000E+00      1.64320E-08      0.00000E+00
      6.10000E+00      0.00000E+00      1.71290E-08      0.00000E+00
      6.30000E+00      0.00000E+00      1.80470E-08      0.00000E+00
      6.50000E+00      0.00000E+00      1.77270E-08      0.00000E+00
      6.70000E+00      0.00000E+00      1.80900E-08      0.00000E+00
      6.90000E+00      0.00000E+00      1.80830E-08      0.00000E+00
      7.10000E+00      0.00000E+00      1.77330E-08      0.00000E+00
      7.30000E+00      0.00000E+00      1.75890E-08      0.00000E+00
      7.50000E+00      0.00000E+00      1.71270E-08      0.00000E+00
      7.70000E+00      0.00000E+00      1.67070E-08      0.00000E+00
      7.90000E+00      0.00000E+00      1.59080E-08      0.00000E+00
      8.10000E+00      0.00000E+00      1.53430E-08      0.00000E+00
      8.30000E+00      0.00000E+00      1.49480E-08      0.00000E+00
      8.50000E+00      0.00000E+00      1.49040E-08      0.00000E+00
      8.70000E+00      0.00000E+00      1.47180E-08      0.00000E+00
      8.90000E+00      0.00000E+00      1.44190E-08      0.00000E+00
      9.10000E+00      0.00000E+00      1.39360E-08      0.00000E+00
      9.30000E+00      0.00000E+00      1.36880E-08      0.00000E+00
      9.50000E+00      0.00000E+00      1.29910E-08      0.00000E+00
      9.70000E+00      0.00000E+00      1.28520E-08      0.00000E+00
      9.90000E+00      0.00000E+00      1.27660E-08      0.00000E+00
      1.01000E+01      0.00000E+00      1.20860E-08      0.00000E+00
      1.03000E+01      0.00000E+00      1.18260E-08      0.00000E+00
      1.05000E+01      0.00000E+00      1.18540E-08      0.00000E+00
      1.07000E+01      0.00000E+00      1.14790E-08      0.00000E+00
      1.09000E+01      0.00000E+00      1.13300E-08      0.00000E+00
      1.11000E+01      0.00000E+00      1.12850E-08      0.00000E+00
      1.13000E+01      0.00000E+00      1.12340E-08      0.00000E+00
      1.15000E+01      0.00000E+00      1.08580E-08      0.00000E+00
      1.17000E+01      0.00000E+00      1.11150E-08      0.00000E+00
      1.19000E+01      0.00000E+00      1.08710E-08      0.00000E+00
      1.21000E+01      0.00000E+00      1.11630E-08      0.00000E+00
      1.23000E+01      0.00000E+00      1.05080E-08      0.00000E+00
      1.25000E+01      0.00000E+00      1.04880E-08      0.00000E+00
      1.27000E+01      0.00000E+00      1.05940E-08      0.00000E+00
      1.29000E+01      0.00000E+00      1.03500E-08      0.00000E+00
      1.31000E+01      0.00000E+00      1.13710E-08      0.00000E+00
      1.33000E+01      0.00000E+00      1.06100E-08      0.00000E+00
      1.35000E+01      0.00000E+00      9.83600E-09      0.00000E+00
      1.37000E+01      0.00000E+00      9.80900E-09      0.00000E+00
      1.39000E+01      0.00000E+00      9.56500E-09      0.00000E+00
