# entry-subent-pointer  : E2738-009-0 
# EXFOR reaction        : ['78-PT-0', ['P,X'], '79-AU-191,,SIG'] 
# incident energy       : 1.43e+01 MeV - 2.96e+01 MeV 
# target                : Pt-0 
# product               : Au-191 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : D.Gantumur 
# institute             : (2JPNJPN): Japan 
# reference             : (J,ARI,192,110621,2023) 
# year                  : 2023 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E27/E2738.x4 
# nds                   : https://nds.iaea.org/EXFOR/E2738
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.96000E+01      0.00000E+00      2.01000E-02      2.20000E-03
      2.88000E+01      0.00000E+00      1.03000E-02      1.60000E-03
      2.49000E+01      0.00000E+00      5.70000E-03      1.43000E-03
      2.41000E+01      0.00000E+00      6.94000E-03      1.75000E-03
      2.33000E+01      0.00000E+00      8.79000E-03      1.67000E-03
      2.24000E+01      0.00000E+00      6.86000E-03      1.64000E-03
      2.15000E+01      0.00000E+00      9.25000E-03      1.65000E-03
      2.06000E+01      0.00000E+00      8.18000E-03      9.20000E-04
      1.96000E+01      0.00000E+00      8.15000E-03      9.00000E-04
      1.87000E+01      0.00000E+00      7.20000E-03      8.50000E-04
      1.76000E+01      0.00000E+00      7.43000E-03      9.30000E-04
      1.66000E+01      0.00000E+00      5.96000E-03      9.00000E-04
      1.55000E+01      0.00000E+00      4.88000E-03      8.90000E-04
      1.43000E+01      0.00000E+00      3.50000E-03      7.90000E-04
