# entry-subent-pointer  : D4111-010-1 
# EXFOR reaction        : ['37-RB-85', ['P,4N'], '38-SR-82,,SIG,,,RECOM'] 
# incident energy       : 3.4000e+01 MeV - 9.8900e+01 MeV 
# target                : Rb-85 
# product               : Sr-82 
# level energy          : - 
# MF-MT number          : 3 - 37 
# first author          : S.Takacs 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,NIM/B,211,169,2003) 
# year                  : 2003 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D41/D4111.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4111
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.40000E+01      0.00000E+00      1.20000E-03      0.00000E+00
      3.41000E+01      0.00000E+00      1.50000E-03      0.00000E+00
      3.42000E+01      0.00000E+00      1.80000E-03      0.00000E+00
      3.43000E+01      0.00000E+00      2.00000E-03      0.00000E+00
      3.44000E+01      0.00000E+00      2.30000E-03      0.00000E+00
      3.45000E+01      0.00000E+00      2.50000E-03      0.00000E+00
      3.46000E+01      0.00000E+00      2.70000E-03      0.00000E+00
      3.47000E+01      0.00000E+00      3.00000E-03      0.00000E+00
      3.48000E+01      0.00000E+00      3.20000E-03      0.00000E+00
      3.49000E+01      0.00000E+00      3.50000E-03      0.00000E+00
      3.50000E+01      0.00000E+00      3.70000E-03      0.00000E+00
      3.51000E+01      0.00000E+00      4.00000E-03      0.00000E+00
      3.52000E+01      0.00000E+00      4.20000E-03      0.00000E+00
      3.53000E+01      0.00000E+00      4.50000E-03      0.00000E+00
      3.54000E+01      0.00000E+00      4.70000E-03      0.00000E+00
      3.55000E+01      0.00000E+00      4.90000E-03      0.00000E+00
      3.56000E+01      0.00000E+00      5.20000E-03      0.00000E+00
      3.57000E+01      0.00000E+00      5.40000E-03      0.00000E+00
      3.58000E+01      0.00000E+00      5.60000E-03      0.00000E+00
      3.59000E+01      0.00000E+00      5.90000E-03      0.00000E+00
      3.60000E+01      0.00000E+00      6.10000E-03      0.00000E+00
      3.61000E+01      0.00000E+00      6.40000E-03      0.00000E+00
      3.62000E+01      0.00000E+00      6.60000E-03      0.00000E+00
      3.63000E+01      0.00000E+00      6.80000E-03      0.00000E+00
      3.64000E+01      0.00000E+00      7.10000E-03      0.00000E+00
      3.65000E+01      0.00000E+00      7.30000E-03      0.00000E+00
      3.66000E+01      0.00000E+00      7.60000E-03      0.00000E+00
      3.67000E+01      0.00000E+00      7.90000E-03      0.00000E+00
      3.68000E+01      0.00000E+00      8.10000E-03      0.00000E+00
      3.69000E+01      0.00000E+00      8.40000E-03      0.00000E+00
      3.70000E+01      0.00000E+00      8.70000E-03      0.00000E+00
      3.71000E+01      0.00000E+00      9.00000E-03      0.00000E+00
      3.72000E+01      0.00000E+00      9.30000E-03      0.00000E+00
      3.73000E+01      0.00000E+00      9.70000E-03      0.00000E+00
      3.74000E+01      0.00000E+00      1.00000E-02      0.00000E+00
      3.75000E+01      0.00000E+00      1.04000E-02      0.00000E+00
      3.76000E+01      0.00000E+00      1.08000E-02      0.00000E+00
      3.77000E+01      0.00000E+00      1.13000E-02      0.00000E+00
      3.78000E+01      0.00000E+00      1.17000E-02      0.00000E+00
      3.79000E+01      0.00000E+00      1.22000E-02      0.00000E+00
      3.80000E+01      0.00000E+00      1.28000E-02      0.00000E+00
      3.81000E+01      0.00000E+00      1.33000E-02      0.00000E+00
      3.82000E+01      0.00000E+00      1.39000E-02      0.00000E+00
      3.83000E+01      0.00000E+00      1.46000E-02      0.00000E+00
      3.84000E+01      0.00000E+00      1.53000E-02      0.00000E+00
      3.85000E+01      0.00000E+00      1.60000E-02      0.00000E+00
      3.86000E+01      0.00000E+00      1.68000E-02      0.00000E+00
      3.87000E+01      0.00000E+00      1.76000E-02      0.00000E+00
      3.88000E+01      0.00000E+00      1.84000E-02      0.00000E+00
      3.89000E+01      0.00000E+00      1.93000E-02      0.00000E+00
      3.90000E+01      0.00000E+00      2.03000E-02      0.00000E+00
      3.91000E+01      0.00000E+00      2.12000E-02      0.00000E+00
      3.92000E+01      0.00000E+00      2.22000E-02      0.00000E+00
      3.93000E+01      0.00000E+00      2.33000E-02      0.00000E+00
      3.94000E+01      0.00000E+00      2.44000E-02      0.00000E+00
      3.95000E+01      0.00000E+00      2.55000E-02      0.00000E+00
      3.96000E+01      0.00000E+00      2.67000E-02      0.00000E+00
      3.97000E+01      0.00000E+00      2.79000E-02      0.00000E+00
      3.98000E+01      0.00000E+00      2.91000E-02      0.00000E+00
      3.99000E+01      0.00000E+00      3.04000E-02      0.00000E+00
      4.00000E+01      0.00000E+00      3.16000E-02      0.00000E+00
      4.01000E+01      0.00000E+00      3.30000E-02      0.00000E+00
      4.02000E+01      0.00000E+00      3.43000E-02      0.00000E+00
      4.03000E+01      0.00000E+00      3.57000E-02      0.00000E+00
      4.04000E+01      0.00000E+00      3.71000E-02      0.00000E+00
      4.05000E+01      0.00000E+00      3.85000E-02      0.00000E+00
      4.06000E+01      0.00000E+00      3.99000E-02      0.00000E+00
