# entry-subent-pointer  : C0826-003-0 
# EXFOR reaction        : ['16-S-34', ['P,INL'], '16-S-34,PAR,DA'] 
# incident energy       : 2.9800e+01 MeV 
# target                : S-34 
# product               : S-34 
# level energy          : 2.1300e+00 MeV 
# MF-MT number          : 4 - 601 
# first author          : R.Alarcon 
# institute             : (1USAOHO): Ohio University, Athens, OH 
# reference             : (J,PR/C,31,697,198502) 
# year                  : 1985 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0826.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0826
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.03000E+01      0.00000E+00      1.44000E-02      1.13000E-03
      2.06000E+01      0.00000E+00      7.50000E-03      5.00000E-04
      2.57000E+01      0.00000E+00      6.10000E-03      3.40000E-04
      3.09000E+01      0.00000E+00      5.20000E-03      4.50000E-04
      3.60000E+01      0.00000E+00      3.40000E-03      4.50000E-04
      4.12000E+01      0.00000E+00      2.80000E-03      3.40000E-04
      4.63000E+01      0.00000E+00      1.46000E-03      1.20000E-04
      5.14000E+01      0.00000E+00      1.22000E-03      1.10000E-04
      5.65000E+01      0.00000E+00      1.16000E-03      1.40000E-04
      6.16000E+01      0.00000E+00      1.47000E-03      1.40000E-04
      6.66000E+01      0.00000E+00      1.66000E-03      1.90000E-04
      8.18000E+01      0.00000E+00      9.00000E-04      1.10000E-04
