# entry-subent-pointer  : C1426-004-0 
# EXFOR reaction        : ['14-SI-28', ['P,EL'], '14-SI-28,,DA'] 
# incident energy       : 2.0000e+02 MeV 
# target                : Si-28 
# product               : Si-28 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : K.H.Hicks 
# institute             : (1CANTMF): Tri University Meson Facility, Vancouver, B.C. 
# reference             : (J,PR/C,38,229,1988) 
# year                  : 1988 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C14/C1426.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1426
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      3.16000E+00      0.00000E+00      8.55000E+00      0.00000E+00
      3.23000E+00      0.00000E+00      6.88000E+00      0.00000E+00
      4.02000E+00      0.00000E+00      2.62000E+00      0.00000E+00
      4.35000E+00      0.00000E+00      2.03000E+00      0.00000E+00
      5.01000E+00      0.00000E+00      1.77000E+00      0.00000E+00
      5.27000E+00      0.00000E+00      1.40000E+00      0.00000E+00
      6.33000E+00      0.00000E+00      1.17000E+00      0.00000E+00
      7.24000E+00      0.00000E+00      1.26000E+00      0.00000E+00
      7.44000E+00      0.00000E+00      1.02000E+00      0.00000E+00
      8.23000E+00      0.00000E+00      1.02000E+00      0.00000E+00
      8.43000E+00      0.00000E+00      8.07000E-01      0.00000E+00
      9.35000E+00      0.00000E+00      8.08000E-01      0.00000E+00
      9.35000E+00      0.00000E+00      6.25000E-01      0.00000E+00
      1.04000E+01      0.00000E+00      5.90000E-01      0.00000E+00
      1.05000E+01      0.00000E+00      4.65000E-01      0.00000E+00
      1.13000E+01      0.00000E+00      4.39000E-01      0.00000E+00
      1.15000E+01      0.00000E+00      3.33000E-01      0.00000E+00
      1.23000E+01      0.00000E+00      2.96000E-01      0.00000E+00
      1.23000E+01      0.00000E+00      2.29000E-01      0.00000E+00
      1.34000E+01      0.00000E+00      1.96000E-01      0.00000E+00
      1.37000E+01      0.00000E+00      1.46000E-01      0.00000E+00
      1.44000E+01      0.00000E+00      1.24000E-01      0.00000E+00
      1.45000E+01      0.00000E+00      9.85000E-02      0.00000E+00
      1.54000E+01      0.00000E+00      7.94000E-02      0.00000E+00
      1.63000E+01      0.00000E+00      5.57000E-02      0.00000E+00
      1.71000E+01      0.00000E+00      3.27000E-02      0.00000E+00
      1.94000E+01      0.00000E+00      1.49000E-02      0.00000E+00
      2.08000E+01      0.00000E+00      1.20000E-02      0.00000E+00
      2.35000E+01      0.00000E+00      1.04000E-02      0.00000E+00
      2.50000E+01      0.00000E+00      9.70000E-03      0.00000E+00
      2.78000E+01      0.00000E+00      6.81000E-03      0.00000E+00
      2.92000E+01      0.00000E+00      4.69000E-03      0.00000E+00
      3.19000E+01      0.00000E+00      2.98000E-03      0.00000E+00
      3.34000E+01      0.00000E+00      1.79000E-03      0.00000E+00
      3.60000E+01      0.00000E+00      8.82000E-04      0.00000E+00
      3.61000E+01      0.00000E+00      6.44000E-04      0.00000E+00
      3.70000E+01      0.00000E+00      6.32000E-04      0.00000E+00
      3.75000E+01      0.00000E+00      4.79000E-04      0.00000E+00
      3.75000E+01      0.00000E+00      3.86000E-04      0.00000E+00
      3.85000E+01      0.00000E+00      3.64000E-04      0.00000E+00
      3.90000E+01      0.00000E+00      2.99000E-04      0.00000E+00
      4.06000E+01      0.00000E+00      1.86000E-04      0.00000E+00
      4.17000E+01      0.00000E+00      1.39000E-04      0.00000E+00
      4.31000E+01      0.00000E+00      1.18000E-04      0.00000E+00
      4.43000E+01      0.00000E+00      1.09000E-04      0.00000E+00
      4.55000E+01      0.00000E+00      9.97000E-05      0.00000E+00
      4.83000E+01      0.00000E+00      8.19000E-05      0.00000E+00
      4.99000E+01      0.00000E+00      6.35000E-05      0.00000E+00
