# entry-subent-pointer  : F1105-004-0 
# EXFOR reaction        : ['14-SI-28', ['P,INL'], '14-SI-28,PAR,DA'] 
# incident energy       : 1.0610e+01 MeV - 1.1980e+01 MeV 
# target                : Si-28 
# product               : Si-28 
# level energy          : 1.7700e+00 MeV 
# MF-MT number          : 4 - 601 
# first author          : A.V.Cohen 
# institute             : (2UK ALD): Atomic Weapons Establishment (AWE), Aldermaston 
# reference             : (J,NP,24,529,1961) 
# year                  : 1961 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F11/F1105.x4 
# nds                   : https://nds.iaea.org/EXFOR/F1105
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.61930E+00      2.31200E-01      6.08150E-02      6.18780E-03
      1.15830E+01      2.31200E-01      4.82160E-02      4.19880E-03
      1.48120E+01      2.31200E-01      4.71070E-02      4.41980E-03
      1.68280E+01      2.31200E-01      4.57780E-02      4.19760E-03
      1.96810E+01      2.31200E-01      5.08570E-02      5.08280E-03
      2.45000E+01      2.31200E-01      4.35570E-02      5.52480E-03
      3.09140E+01      2.31200E-01      3.16150E-02      3.53590E-03
      4.10080E+01      2.31200E-01      2.87280E-02      3.09390E-03
      5.18790E+01      2.31200E-01      1.87690E-02      2.65190E-03
      6.19920E+01      2.31200E-01      1.98600E-02      3.09390E-03
      7.16850E+01      2.31200E-01      1.76370E-02      2.65100E-03
      8.22320E+01      2.31200E-01      2.51360E-02      3.97780E-03
      9.19360E+01      2.31200E-01      2.53440E-02      2.87290E-03
      1.03240E+02      2.31200E-01      2.13500E-02      3.09400E-03
      1.12530E+02      2.31200E-01      1.86860E-02      2.43090E-03
      1.22600E+02      2.31200E-01      1.16000E-02      2.20870E-03
      1.32680E+02      2.31200E-01      4.29340E-03      2.20990E-03
      9.43300E+00      2.31200E-01      2.37740E-02      5.33210E-03
      1.18560E+01      2.31200E-01      2.53290E-02      3.11200E-03
      1.46760E+01      2.31200E-01      2.22160E-02      3.11340E-03
      1.79050E+01      2.31200E-01      2.24370E-02      3.55460E-03
      2.03300E+01      2.31200E-01      2.55480E-02      3.11400E-03
      2.47630E+01      2.31200E-01      2.17680E-02      3.11250E-03
      3.04090E+01      2.31200E-01      1.93220E-02      2.88790E-03
      4.04990E+01      2.31200E-01      2.13180E-02      3.33410E-03
      5.05860E+01      2.31200E-01      2.08690E-02      2.88560E-03
      6.18730E+01      2.31200E-01      1.24210E-02      2.88740E-03
      7.11540E+01      2.31200E-01      1.26390E-02      2.66520E-03
      8.16430E+01      2.31200E-01      1.15240E-02      2.44390E-03
      9.13230E+01      2.31200E-01      7.96480E-03      2.66580E-03
      1.01410E+02      2.31200E-01      5.07200E-03      2.44280E-03
      1.11090E+02      2.31200E-01      3.73500E-03      2.22170E-03
      1.11490E+02      2.31200E-01      5.95700E-03      2.22350E-03
      1.21590E+02      2.31200E-01      1.01750E-02      2.22190E-03
      1.31680E+02      2.31200E-01      1.01710E-02      2.66480E-03
