# entry-subent-pointer  : E2491--00-3-0 
# EXFOR reaction        : ['14-SI-28', ['P,INL'], '14-SI-28,PAR,DA'] 
# incident energy       : 2.95e+02 MeV 
# target                : Si-28 
# product               : Si-28 
# level energy          : 9.49e+00 MeV 
# MF-MT number          : 4 - ['71'] 
# first author          : H.Matsubara 
# institute             : (2JPNOSA): Osaka University , Osaka 
# reference             : (J,PRL,115,102501,2015) 
# year                  : 2015 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E24/E2491.x4 
# nds                   : https://nds.iaea.org/EXFOR/E2491
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.20000E-01      0.00000E+00      3.55670E-04      8.97300E-06
      1.05000E+00      0.00000E+00      3.70970E-04      6.57800E-06
      1.82000E+00      0.00000E+00      3.96610E-04      1.23300E-05
      2.49000E+00      0.00000E+00      3.61600E-04      9.07500E-06
      3.33000E+00      0.00000E+00      3.82630E-04      8.01300E-06
      4.60000E+00      0.00000E+00      3.76820E-04      9.39100E-06
      5.39000E+00      0.00000E+00      3.71930E-04      1.06700E-05
      6.49000E+00      0.00000E+00      2.55290E-04      8.27000E-06
      8.58000E+00      0.00000E+00      2.56450E-04      4.02700E-05
      1.05700E+01      0.00000E+00      1.09830E-04      4.01700E-05
      1.25600E+01      0.00000E+00      1.87670E-04      1.23600E-04
      1.46500E+01      0.00000E+00      2.71350E-05      2.13500E-05
