# entry-subent-pointer  : D4325-010-0 
# EXFOR reaction        : (62-SM-0(P,X)63-EU-147,,SIG) 
# incident energy       : 6.0000e+00 MeV - 6.4800e+01 MeV 
# target                : Sm-0 
# product               : Eu-147 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Tarkanyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,NIM/B,346,26,2015) 
# year                  : 2015 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D43/D4325.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4325
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        6.0000E+00        1.0000E+00        2.7000E-03        3.0000E-04
        8.4000E+00        9.0000E-01        1.9800E-02        2.2000E-03
        1.1300E+01        8.0000E-01        6.6700E-02        7.5000E-03
        1.3700E+01        8.0000E-01        9.2400E-02        1.0400E-02
        1.5800E+01        8.0000E-01        9.4400E-02        1.0600E-02
        1.7700E+01        7.0000E-01        1.0490E-01        1.1800E-02
        1.9400E+01        7.0000E-01        1.2110E-01        1.3600E-02
        2.1100E+01        6.0000E-01        1.8090E-01        2.0300E-02
        2.2600E+01        6.0000E-01        1.7380E-01        1.9500E-02
        2.4100E+01        6.0000E-01        1.6500E-01        1.8600E-02
        2.5500E+01        5.0000E-01        1.5860E-01        1.7800E-02
        2.6900E+01        5.0000E-01        1.5470E-01        1.7400E-02
        2.8600E+01        5.0000E-01        1.5070E-01        1.7000E-02
        2.9300E+01        1.1000E+00        1.5970E-01        1.8000E-02
        3.0200E+01        4.0000E-01        1.5210E-01        1.7100E-02
        3.1800E+01        4.0000E-01        1.3200E-01        1.4900E-02
        3.2000E+01        1.0000E+00        1.3390E-01        1.5100E-02
        3.3400E+01        4.0000E-01        1.1620E-01        1.3100E-02
        3.4500E+01        1.0000E+00        1.2030E-01        1.3600E-02
        3.4800E+01        3.0000E-01        1.1070E-01        1.2500E-02
        3.6300E+01        3.0000E-01        1.1090E-01        1.2500E-02
        3.6800E+01        9.0000E-01        1.1080E-01        1.2500E-02
        3.9100E+01        9.0000E-01        9.8500E-02        1.1200E-02
        4.1200E+01        8.0000E-01        9.6300E-02        1.0900E-02
        4.3200E+01        8.0000E-01        8.2900E-02        9.4000E-03
        4.5200E+01        7.0000E-01        6.9300E-02        7.9000E-03
        4.7100E+01        7.0000E-01        7.5200E-02        8.5000E-03
        4.9000E+01        6.0000E-01        8.5800E-02        9.7000E-03
        5.0800E+01        6.0000E-01        9.8700E-02        1.1700E-02
        5.2500E+01        6.0000E-01        1.2100E-01        1.3700E-02
        5.4200E+01        5.0000E-01        1.3860E-01        1.5600E-02
        5.5900E+01        5.0000E-01        1.4500E-01        1.6300E-02
        5.7500E+01        5.0000E-01        1.5340E-01        1.7300E-02
        5.9000E+01        4.0000E-01        1.5150E-01        1.7100E-02
        6.0600E+01        4.0000E-01        1.4270E-01        1.6100E-02
        6.2100E+01        4.0000E-01        1.2530E-01        1.4200E-02
        6.3600E+01        3.0000E-01        1.3020E-01        1.4700E-02
        6.4800E+01        3.0000E-01        1.1380E-01        1.2900E-02
