# entry-subent-pointer  : O1859-002-0 
# EXFOR reaction        : ['62-SM-144', ['P,INL'], '62-SM-144,PAR,DA'] 
# incident energy       : 2.2000e+01 MeV 
# target                : Sm-144 
# product               : Sm-144 
# level energy          : 3.8900e+00 MeV 
# MF-MT number          : 4 - 648 
# first author          : E.Mueller-Zanotti 
# institute             : (2GERMUN): Technische Universitaet Muenchen 
# reference             : (J,PR/C,47,2524,1993) 
# year                  : 1993 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O18/O1859.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1859
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.37000E+01      4.00000E-01      2.99000E-05      0.00000E+00
      1.85000E+01      4.00000E-01      5.69000E-05      0.00000E+00
      2.86000E+01      4.00000E-01      4.60000E-05      0.00000E+00
      3.38000E+01      4.00000E-01      3.54000E-05      0.00000E+00
      3.90000E+01      4.00000E-01      3.10000E-05      0.00000E+00
      4.46000E+01      4.00000E-01      2.65000E-05      0.00000E+00
      4.95000E+01      4.00000E-01      2.20000E-05      0.00000E+00
      5.47000E+01      4.00000E-01      1.74000E-05      0.00000E+00
      5.93000E+01      4.00000E-01      1.45000E-05      0.00000E+00
      6.90000E+01      4.00000E-01      1.44000E-05      0.00000E+00
