# entry-subent-pointer  : O2125-003-0 
# EXFOR reaction        : ['50-SN-112', ['P,INL'], '50-SN-112,PAR,DA'] 
# incident energy       : 2.0510e+01 MeV 
# target                : Sn-112 
# product               : Sn-112 
# level energy          : 3.6950e+00 MeV 
# MF-MT number          : 4 - 648 
# first author          : P.J.Blankert 
# institute             : (2NEDFUL): Vrije Universiteit te Amsterdam, De Boelelaan 
# reference             : (J,NP/A,333,116,1980) 
# year                  : 1980 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O21/O2125.x4 
# nds                   : https://nds.iaea.org/EXFOR/O2125
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.75100E+01      0.00000E+00      1.24300E-04      0.00000E+00
      2.04700E+01      0.00000E+00      1.16200E-04      0.00000E+00
      2.47000E+01      0.00000E+00      1.17500E-04      0.00000E+00
      2.97900E+01      0.00000E+00      1.25300E-04      0.00000E+00
      3.46500E+01      0.00000E+00      1.21800E-04      0.00000E+00
      3.99400E+01      0.00000E+00      1.15200E-04      8.82400E-06
      4.47900E+01      0.00000E+00      1.00600E-04      0.00000E+00
      4.96600E+01      0.00000E+00      1.00400E-04      0.00000E+00
      5.47200E+01      0.00000E+00      9.12800E-05      0.00000E+00
      6.00300E+01      0.00000E+00      1.02600E-04      0.00000E+00
      6.48700E+01      0.00000E+00      7.85000E-05      0.00000E+00
      6.99400E+01      0.00000E+00      7.52600E-05      0.00000E+00
      7.50000E+01      0.00000E+00      6.40200E-05      0.00000E+00
      8.03000E+01      0.00000E+00      6.55900E-05      8.15700E-06
      8.53300E+01      0.00000E+00      4.39100E-05      0.00000E+00
      8.95700E+01      0.00000E+00      4.50100E-05      7.15000E-06
      9.50500E+01      0.00000E+00      3.72700E-05      5.06700E-06
      9.99200E+01      0.00000E+00      3.87100E-05      0.00000E+00
      1.04990E+02      0.00000E+00      3.51900E-05      6.36100E-06
      1.15090E+02      0.00000E+00      2.14200E-05      2.09400E-06
