# entry-subent-pointer  : O0289-008-0 
# EXFOR reaction        : ['50-SN-120', ['P,X'], '2-HE-3,,DE'] 
# incident energy       : 6.2000e+01 MeV 
# target                : Sn-120 
# product               : He-3 
# level energy          : 1.3200e+01 MeV 
# MF-MT number          : 5 - None 
# first author          : F.E.Bertrand 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (R,ORNL-4471,1970) 
# year                  : 1970 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0289.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0289
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.32000E+01      0.00000E+00      5.10000E-11      0.00000E+00
      1.42000E+01      0.00000E+00      6.00000E-11      0.00000E+00
      1.52000E+01      0.00000E+00      5.60000E-11      0.00000E+00
      1.61900E+01      0.00000E+00      8.00000E-11      0.00000E+00
      1.71900E+01      0.00000E+00      8.00000E-11      0.00000E+00
      1.81900E+01      0.00000E+00      8.50000E-11      0.00000E+00
      2.00000E+01      0.00000E+00      1.11000E-10      0.00000E+00
      2.20000E+01      0.00000E+00      9.80000E-11      0.00000E+00
      2.40000E+01      0.00000E+00      1.05000E-10      0.00000E+00
      2.60000E+01      0.00000E+00      1.09000E-10      0.00000E+00
      2.80000E+01      0.00000E+00      1.18000E-10      0.00000E+00
      3.00000E+01      0.00000E+00      1.20000E-10      0.00000E+00
      3.20000E+01      0.00000E+00      1.39000E-10      0.00000E+00
      3.40000E+01      0.00000E+00      1.01000E-10      0.00000E+00
      3.60000E+01      0.00000E+00      7.40000E-11      0.00000E+00
      3.80000E+01      0.00000E+00      7.50000E-11      0.00000E+00
      4.00000E+01      0.00000E+00      7.90000E-11      0.00000E+00
      4.20000E+01      0.00000E+00      7.40000E-11      0.00000E+00
      4.40000E+01      0.00000E+00      6.20000E-11      0.00000E+00
      4.60000E+01      0.00000E+00      9.20000E-11      0.00000E+00
      4.80000E+01      0.00000E+00      7.20000E-11      0.00000E+00
      5.00000E+01      0.00000E+00      1.80000E-11      0.00000E+00
      5.00500E+01      0.00000E+00      0.00000E+00      0.00000E+00
