# entry-subent-pointer  : O0276--16-9-0 
# EXFOR reaction        : ['38-SR-0', ['P,X'], '37-RB-86-G,M+,SIG'] 
# incident energy       : 3.01e+01 MeV - 7.76e+02 MeV 
# target                : Sr-0 
# product               : Rb-86-G 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : R.Michel 
# institute             : (2GERKLN): Universitaet zu Koeln 
# reference             : (J,NIM/B,129,153,1997) 
# year                  : 1997 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0276.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0276
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.01000E+01      3.01000E+00      6.45000E-04      9.12000E-05
      3.67000E+01      2.62000E+00      2.58000E-03      1.88000E-04
      4.18000E+01      2.24000E+00      5.47000E-03      4.07000E-04
      4.42000E+01      2.73000E+00      6.07000E-03      4.72000E-04
      4.91000E+01      2.49000E+00      7.79000E-03      6.25000E-04
      5.36000E+01      2.38000E+00      8.81000E-03      6.91000E-04
      5.78000E+01      2.21000E+00      9.96000E-03      7.24000E-04
      6.18000E+01      2.14000E+00      1.08000E-02      8.00000E-04
      6.56000E+01      1.97000E+00      1.28000E-02      1.06000E-03
      6.92000E+01      1.87000E+00      1.44000E-02      1.28000E-03
      1.24000E+02      2.25000E+00      1.99000E-02      1.60000E-03
      1.35000E+02      2.07000E+00      2.16000E-02      1.70000E-03
      1.46000E+02      1.91000E+00      2.21000E-02      1.88000E-03
      1.58000E+02      1.64000E+00      2.19000E-02      1.60000E-03
      2.24000E+02      2.28000E+00      2.02000E-02      1.75000E-03
      2.69000E+02      1.72000E+00      2.22000E-02      1.95000E-03
      2.89000E+02      1.71000E+00      2.37000E-02      1.90000E-03
      3.36000E+02      2.13000E+00      2.26000E-02      1.87000E-03
      3.65000E+02      1.52000E+00      2.38000E-02      1.75000E-03
      3.73000E+02      1.62000E+00      2.37000E-02      2.05000E-03
      5.74000E+02      1.41000E+00      2.64000E-02      1.94000E-03
      7.76000E+02      1.38000E+00      2.70000E-02      1.98000E-03
