# entry-subent-pointer  : C0402-003-0 
# EXFOR reaction        : (73-TA-0(P,X)ELEM/MASS,,SIG) 
# incident energy       : 8.0000e+00 MeV - 8.4000e+01 MeV 
# target                : Ta-0 
# product               : W-177 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Rao 
# institute             : (1CANMCG): McGill University, Montreal,Quebec 
# reference             : (J,CJC,41,2516,1963) 
# year                  : 1963 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C04/C0402.x4 
# nds                   : https://nds.iaea.org/EXFOR/C0402
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        8.0000E+00        2.0000E+00        6.0000E-02        1.3200E-02
        1.2000E+01        2.0000E+00        9.8000E-02        2.1560E-02
        1.8000E+01        2.0000E+00        5.0000E-04        1.4000E-04
        1.8000E+01        2.0000E+00        1.6000E-02        3.5200E-03
        1.8000E+01        2.0000E+00        2.6000E-02        5.7200E-03
        1.8000E+01        2.0000E+00        3.5000E-02        7.7000E-03
        2.4000E+01        2.0000E+00        2.9000E-02        8.1200E-03
        2.4000E+01        2.0000E+00        1.0000E-01        2.2000E-02
        2.4000E+01        2.0000E+00        1.2000E+00        2.6400E-01
        2.4000E+01        2.0000E+00        4.7000E-02        1.0340E-02
        3.0000E+01        2.0000E+00        7.4000E-02        2.0720E-02
        3.0000E+01        2.0000E+00        1.1000E-01        2.4200E-02
        3.0000E+01        2.0000E+00        2.4000E-01        5.2800E-02
        3.0000E+01        2.0000E+00        9.2000E-01        2.0240E-01
        3.0000E+01        2.0000E+00        4.4000E-02        9.6800E-03
        3.6000E+01        2.0000E+00        5.0000E-03        1.4000E-03
        3.6000E+01        2.0000E+00        3.8000E-02        1.0640E-02
        3.6000E+01        2.0000E+00        1.9000E-01        5.3200E-02
        3.6000E+01        2.0000E+00        1.8000E-01        3.9600E-02
        3.6000E+01        2.0000E+00        1.3000E-01        3.6400E-02
        3.6000E+01        2.0000E+00        7.6000E-01        1.6720E-01
        3.6000E+01        2.0000E+00        2.8000E-01        6.1600E-02
        4.2000E+01        2.0000E+00        8.0000E-06        1.7600E-06
        4.2000E+01        2.0000E+00        5.0000E-05        1.4000E-05
        4.2000E+01        2.0000E+00        6.0000E-03        1.6800E-03
        4.2000E+01        2.0000E+00        3.0000E-05        8.4000E-06
        4.2000E+01        2.0000E+00        1.2000E-01        3.3600E-02
        4.2000E+01        2.0000E+00        8.2000E-02        2.2960E-02
        4.2000E+01        2.0000E+00        1.7000E-01        3.7400E-02
        4.2000E+01        2.0000E+00        5.5000E-01        1.5400E-01
        4.2000E+01        2.0000E+00        4.3000E-01        9.4600E-02
        4.8000E+01        2.0000E+00        2.8000E-01        7.8400E-02
        4.8000E+01        2.0000E+00        1.8000E-01        5.0400E-02
        4.8000E+01        2.0000E+00        8.7000E-02        2.4360E-02
        4.8000E+01        2.0000E+00        8.3000E-01        2.3240E-01
        4.8000E+01        2.0000E+00        2.0000E-01        4.4000E-02
        5.4000E+01        2.0000E+00        8.0000E-05        1.7600E-05
        5.4000E+01        2.0000E+00        1.3000E-02        3.6400E-03
        5.4000E+01        2.0000E+00        5.0000E-05        1.4000E-05
        5.4000E+01        2.0000E+00        2.7000E-01        7.5600E-02
        5.4000E+01        2.0000E+00        1.8000E-01        5.0400E-02
        5.4000E+01        2.0000E+00        4.2000E-01        1.1760E-01
        5.4000E+01        2.0000E+00        6.5000E-01        1.8200E-01
        5.4000E+01        2.0000E+00        1.3000E-01        2.8600E-02
        6.4000E+01        2.0000E+00        7.0000E-05        1.5400E-05
        6.4000E+01        2.0000E+00        2.0000E-04        4.4000E-05
        6.4000E+01        2.0000E+00        2.5000E-02        7.0000E-03
        6.4000E+01        2.0000E+00        1.0000E-02        2.8000E-03
        6.4000E+01        2.0000E+00        1.7000E-01        4.7600E-02
        6.4000E+01        2.0000E+00        3.2000E-01        8.9600E-02
        6.4000E+01        2.0000E+00        2.0000E-01        5.6000E-02
        6.4000E+01        2.0000E+00        1.2000E-01        2.6400E-02
        7.4000E+01        2.0000E+00        3.0000E-04        8.4000E-05
        7.4000E+01        2.0000E+00        1.2000E-03        2.6400E-04
        7.4000E+01        2.0000E+00        2.1000E-02        5.8800E-03
        7.4000E+01        2.0000E+00        3.0000E-03        8.4000E-04
        7.4000E+01        2.0000E+00        1.8000E-01        5.0400E-02
        7.4000E+01        2.0000E+00        1.7000E-01        4.7600E-02
        7.4000E+01        2.0000E+00        1.1000E-01        3.0800E-02
        7.4000E+01        2.0000E+00        6.2000E-02        1.3640E-02
        8.4000E+01        2.0000E+00        2.6000E-03        7.2800E-04
        8.4000E+01        2.0000E+00        3.7000E-03        8.1400E-04
        8.4000E+01        2.0000E+00        2.4000E-02        6.7200E-03
        8.4000E+01        2.0000E+00        2.0000E-03        5.6000E-04
        8.4000E+01        2.0000E+00        2.2000E-01        6.1600E-02
        8.4000E+01        2.0000E+00        7.3000E-02        2.0440E-02
        8.4000E+01        2.0000E+00        9.8000E-02        2.7440E-02
        8.4000E+01        2.0000E+00        6.4000E-02        1.4080E-02
