# entry-subent-pointer  : E1415-002-0 
# EXFOR reaction        : ['52-TE-122', ['P,EL'], '52-TE-122,,DA'] 
# incident energy       : 5.19e+01 MeV 
# target                : Te-122 
# product               : Te-122 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.Matoba 
# institute             : (2JPNKYU): Kyushu University , Fukuoka 
# reference             : (J,NP/A,237,260,75) 
# year                  : 1975 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E14/E1415.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1415
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      7.66800E+00      0.00000E+00      5.75200E+00      0.00000E+00
      1.08000E+01      0.00000E+00      1.50500E+00      0.00000E+00
      1.39800E+01      0.00000E+00      1.82400E-01      0.00000E+00
      1.73000E+01      0.00000E+00      2.66300E-01      0.00000E+00
      1.98700E+01      0.00000E+00      4.26400E-01      0.00000E+00
      2.25200E+01      0.00000E+00      3.94800E-01      0.00000E+00
      2.57900E+01      0.00000E+00      2.36800E-01      0.00000E+00
      2.88800E+01      0.00000E+00      7.37500E-02      0.00000E+00
      3.22900E+01      0.00000E+00      1.62600E-02      0.00000E+00
      3.49600E+01      0.00000E+00      2.93400E-02      0.00000E+00
      3.73900E+01      0.00000E+00      5.01600E-02      0.00000E+00
      4.03000E+01      0.00000E+00      5.33900E-02      0.00000E+00
      4.41100E+01      0.00000E+00      3.32200E-02      0.00000E+00
      4.77200E+01      0.00000E+00      1.66900E-02      0.00000E+00
      5.00900E+01      0.00000E+00      6.57200E-03      0.00000E+00
      5.26500E+01      0.00000E+00      5.76500E-03      0.00000E+00
      5.58400E+01      0.00000E+00      7.77200E-03      0.00000E+00
      5.98400E+01      0.00000E+00      8.17000E-03      0.00000E+00
      6.28900E+01      0.00000E+00      6.84300E-03      0.00000E+00
      6.53100E+01      0.00000E+00      4.24000E-03      0.00000E+00
      6.76900E+01      0.00000E+00      2.09700E-03      0.00000E+00
      7.08700E+01      0.00000E+00      1.53200E-03      0.00000E+00
      7.75700E+01      0.00000E+00      1.65200E-03      0.00000E+00
      8.05300E+01      0.00000E+00      1.52400E-03      0.00000E+00
      8.27300E+01      0.00000E+00      1.20700E-03      0.00000E+00
      8.66100E+01      0.00000E+00      7.32000E-04      0.00000E+00
