# entry-subent-pointer  : C1261-005-0 
# EXFOR reaction        : ['22-TI-48', ['P,INL'], '22-TI-48,PAR,DA'] 
# incident energy       : 1.0000e+02 MeV 
# target                : Ti-48 
# product               : Ti-48 
# level energy          : 9.8300e-01 MeV 
# MF-MT number          : 4 - 601 
# first author          : L.W.Woo 
# institute             : (1USAMRY): University of Maryland, College Park, MD 
# reference             : (J,PR/C,29,794,1984) 
# year                  : 1984 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C12/C1261.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1261
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.46000E+00      0.00000E+00      1.78000E-02      0.00000E+00
      1.10000E+01      0.00000E+00      1.75000E-02      0.00000E+00
      1.24000E+01      0.00000E+00      2.11000E-02      0.00000E+00
      1.35000E+01      0.00000E+00      1.92000E-02      0.00000E+00
      1.52000E+01      0.00000E+00      1.69000E-02      0.00000E+00
      1.73000E+01      0.00000E+00      1.56000E-02      0.00000E+00
      1.84000E+01      0.00000E+00      1.37000E-02      0.00000E+00
      2.02000E+01      0.00000E+00      1.14000E-02      0.00000E+00
      2.13000E+01      0.00000E+00      8.44000E-03      0.00000E+00
      2.29000E+01      0.00000E+00      5.58000E-03      0.00000E+00
      2.49000E+01      0.00000E+00      3.69000E-03      0.00000E+00
      2.63000E+01      0.00000E+00      1.81000E-03      0.00000E+00
      2.80000E+01      0.00000E+00      1.19000E-03      0.00000E+00
      2.96000E+01      0.00000E+00      1.24000E-03      0.00000E+00
      3.10000E+01      0.00000E+00      1.29000E-03      0.00000E+00
      3.26000E+01      0.00000E+00      1.29000E-03      0.00000E+00
      3.43000E+01      0.00000E+00      1.34000E-03      0.00000E+00
      3.56000E+01      0.00000E+00      1.15000E-03      0.00000E+00
      3.72000E+01      0.00000E+00      1.03000E-03      0.00000E+00
      3.84000E+01      0.00000E+00      8.87000E-04      0.00000E+00
      4.00000E+01      0.00000E+00      5.76000E-04      0.00000E+00
      4.17000E+01      0.00000E+00      5.45000E-04      0.00000E+00
      4.34000E+01      0.00000E+00      3.60000E-04      0.00000E+00
      4.45000E+01      0.00000E+00      3.47000E-04      0.00000E+00
      4.62000E+01      0.00000E+00      2.98000E-04      0.00000E+00
      4.69000E+01      0.00000E+00      2.82000E-04      0.00000E+00
      4.91000E+01      0.00000E+00      2.47000E-04      0.00000E+00
      5.06000E+01      0.00000E+00      2.43000E-04      0.00000E+00
      5.33000E+01      0.00000E+00      2.01000E-04      0.00000E+00
      5.53000E+01      0.00000E+00      1.43000E-04      0.00000E+00
      5.92000E+01      0.00000E+00      4.16000E-05      0.00000E+00
      6.10000E+01      0.00000E+00      3.32000E-05      0.00000E+00
      6.57000E+01      0.00000E+00      2.97000E-05      0.00000E+00
      6.72000E+01      0.00000E+00      2.97000E-05      0.00000E+00
      6.96000E+01      0.00000E+00      2.97000E-05      0.00000E+00
      7.02000E+01      0.00000E+00      3.51000E-05      0.00000E+00
      7.34000E+01      0.00000E+00      2.24000E-05      0.00000E+00
      7.62000E+01      0.00000E+00      1.20000E-05      0.00000E+00
      7.96000E+01      0.00000E+00      4.63000E-06      0.00000E+00
      8.21000E+01      0.00000E+00      2.14000E-06      0.00000E+00
      8.40000E+01      0.00000E+00      2.18000E-06      0.00000E+00
      8.51000E+01      0.00000E+00      2.44000E-06      0.00000E+00
      8.70000E+01      0.00000E+00      3.00000E-06      0.00000E+00
      8.89000E+01      0.00000E+00      3.49000E-06      0.00000E+00
      9.31000E+01      0.00000E+00      1.99000E-06      0.00000E+00
      9.48000E+01      0.00000E+00      2.14000E-06      0.00000E+00
      9.72000E+01      0.00000E+00      1.36000E-06      0.00000E+00
      1.02000E+02      0.00000E+00      3.96000E-07      0.00000E+00
      1.07000E+02      0.00000E+00      1.57000E-07      0.00000E+00
      1.11000E+02      0.00000E+00      5.34000E-07      0.00000E+00
      1.13000E+02      0.00000E+00      5.45000E-07      0.00000E+00
      1.16000E+02      0.00000E+00      3.96000E-07      0.00000E+00
      1.19000E+02      0.00000E+00      3.67000E-07      0.00000E+00
      1.20000E+02      0.00000E+00      3.88000E-07      0.00000E+00
      1.25000E+02      0.00000E+00      2.21000E-07      0.00000E+00
      1.30000E+02      0.00000E+00      3.72000E-08      0.00000E+00
      1.35000E+02      0.00000E+00      1.85000E-08      0.00000E+00
      1.40000E+02      0.00000E+00      4.66000E-08      0.00000E+00
      1.45000E+02      0.00000E+00      1.48000E-08      0.00000E+00
      1.50000E+02      0.00000E+00      1.85000E-08      0.00000E+00
      1.55000E+02      0.00000E+00      3.72000E-08      0.00000E+00
      1.60000E+02      0.00000E+00      2.41000E-08      0.00000E+00
      1.66000E+02      0.00000E+00      1.18000E-08      0.00000E+00
