# entry-subent-pointer  : E1089--00-6-0 
# EXFOR reaction        : ['22-TI-50', ['P,INL'], '22-TI-50,PAR,DA'] 
# incident energy       : 6.50e+01 MeV 
# target                : Ti-50 
# product               : Ti-50 
# level energy          : 8.44e+00 MeV 
# MF-MT number          : 4 - ['91'] 
# first author          : M.Fujiwara 
# institute             : (2JPNOSA): Osaka University , Osaka 
# reference             : (J,PR/C,32,(3),830,198509) 
# year                  : 1985 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E10/E1089.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1089
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      7.31600E+00      0.00000E+00      1.13700E-04              NAN
      1.15000E+01      0.00000E+00      9.86700E-05              NAN
      1.66400E+01      0.00000E+00      6.95900E-05      1.30400E-05
      2.10700E+01      0.00000E+00      5.75700E-05      1.22700E-05
      2.50100E+01      0.00000E+00      4.88800E-05      1.05900E-05
      2.86500E+01      0.00000E+00      4.24500E-05      9.19700E-06
      3.28100E+01      0.00000E+00      3.49600E-05      7.23100E-06
      3.69400E+01      0.00000E+00      1.92600E-05      4.57900E-06
      4.09300E+01      0.00000E+00      1.21400E-05      4.74000E-06
      4.58300E+01      0.00000E+00      8.42500E-06      2.49600E-06
