# entry-subent-pointer  : O1361--01-6-0 
# EXFOR reaction        : ['92-U-0', ['P,F'], '55-CS-137,CUM,SIG'] 
# incident energy       : 2.18e+01 MeV - 6.90e+01 MeV 
# target                : U-0 
# product               : Cs-137 
# level energy          : - 
# MF-MT number          : 3 - 18 
# first author          : M.A.M.Uosif 
# institute             : (2GERUH): University Hannover (previously Tech.University Hannover) 
# reference             : (C,2004SANTA,2,1547,2004) 
# year                  : 2004 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O13/O1361.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1361
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.18000E+01      2.20000E-02      5.42500E-02      2.13000E-03
      2.56000E+01      2.60000E-02      5.44600E-02      2.00000E-03
      2.92000E+01      2.90000E-02      5.61100E-02      2.07000E-03
      3.24000E+01      3.20000E-02      5.47000E-02      2.52000E-03
      3.54000E+01      3.50000E-02      5.27900E-02      2.64000E-03
      3.73000E+01      3.70000E-02      4.99500E-02      3.16000E-03
      3.84000E+01      3.80000E-02      4.82200E-02      4.01000E-03
      3.93000E+01      3.90000E-02      4.77000E-02      1.90000E-03
      4.02400E+01      1.50000E-03      4.68000E-02      2.39000E-03
      4.03000E+01      4.00000E-02      4.76200E-02      2.14000E-03
      4.13000E+01      4.10000E-02      4.83000E-02      2.77000E-03
      4.22000E+01      4.20000E-02      4.66900E-02      3.44000E-03
      4.31000E+01      4.30000E-02      4.90500E-02      2.61000E-03
      4.40000E+01      4.40000E-02      4.97500E-02      9.51000E-03
      4.40500E+01      1.50000E-03      4.75000E-02      3.83000E-03
      4.76000E+01      1.40000E-03      4.81300E-02      4.48000E-03
      5.10000E+01      1.30000E-03      4.78000E-02      3.86000E-03
      5.42200E+01      1.20000E-03      4.49700E-02      4.56000E-03
      5.73000E+01      1.20000E-03      4.71400E-02      2.34000E-03
      6.08000E+01      1.10000E-03      4.79700E-02      5.32000E-03
      6.31500E+01      1.00000E-03      4.33800E-02      4.92000E-03
      6.59000E+01      9.50000E-04      4.24100E-02      4.78000E-03
      6.90000E+01      8.30000E-04      4.08200E-02      2.64000E-03
