# entry-subent-pointer  : E1305--00-3-0 
# EXFOR reaction        : ['92-U-235', ['P,F'], 'MASS,CHN,FY'] 
# incident energy       : 1.20e+01 MeV 
# target                : U-235 
# product               : 84.54 <= mass <= 150.1 
# level energy          : - 
# MF-MT number          : 8 - 459 
# first author          : T.Ohtsuki 
# institute             : (2JPNTMU): Tokyo Metropolitan University , Hachioji, Tokyo 
# reference             : (J,PR/C,40,(5),2144,198911) 
# year                  : 1989 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E13/E1305.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1305
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan            84.54              nan      1.35700E-02      1.35700E-03
              nan            85.95              nan      2.20200E-02      2.20200E-03
              nan             87.0              nan      2.05100E-02      2.05100E-03
              nan            89.32              nan      2.99500E-02      2.99500E-03
              nan            90.71              nan      3.15900E-02      3.15900E-03
              nan            94.52              nan      3.90400E-02      3.90400E-03
              nan            95.76              nan      4.10400E-02      4.10400E-03
              nan            101.9              nan      3.30800E-02      3.30800E-03
              nan            103.3              nan      3.32500E-02      3.32500E-03
              nan            109.2              nan      1.68800E-02      1.68800E-03
              nan            111.5              nan      1.22100E-02      1.22100E-03
              nan            114.5              nan      9.63000E-03      9.63000E-04
              nan            125.6              nan      1.90700E-02      1.90700E-03
              nan            132.7              nan      3.65400E-02      3.65400E-03
              nan            134.9              nan      4.13400E-02      4.13400E-03
              nan            138.6              nan      4.59100E-02      4.59100E-03
              nan            140.4              nan      3.52900E-02      3.52900E-03
              nan            141.3              nan      2.92400E-02      2.92400E-03
              nan            141.9              nan      2.61100E-02      2.61100E-03
              nan            148.0              nan      1.10900E-02      1.10900E-03
              nan            150.1              nan      7.48300E-03      7.48300E-04
