# entry-subent-pointer  : O0593-005-0 
# EXFOR reaction        : ['92-U-238', ['P,F'], '55-CS-132,IND,SIG'] 
# incident energy       : 3.00e+01 MeV - 8.50e+01 MeV 
# target                : U-238 
# product               : Cs-132 
# level energy          : - 
# MF-MT number          : 3 - 18 
# first author          : I.Tomita 
# institute             : (1CANMCG): McGill University, Montreal,Quebec 
# reference             : (J,CJC,47,2921,1969) 
# year                  : 1969 
# facility              : (SYNCY): Synchro cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O05/O0593.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0593
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.00000E+01      0.00000E+00      2.70000E-03      4.00000E-04
      3.00000E+01      0.00000E+00      2.30000E-03      4.00000E-04
      4.50000E+01      0.00000E+00      1.08000E-02      3.00000E-04
      4.50000E+01      0.00000E+00      1.08000E-02      2.50000E-03
      5.00000E+01      0.00000E+00      1.27000E-02      1.90000E-03
      5.00000E+01      0.00000E+00      1.21000E-02      1.00000E-03
      5.50000E+01      0.00000E+00      1.35000E-02      4.00000E-04
      6.00000E+01      0.00000E+00      1.26000E-02      1.90000E-03
      6.00000E+01      0.00000E+00      1.35000E-02      1.80000E-03
      6.50000E+01      0.00000E+00      1.29000E-02      1.90000E-03
      6.50000E+01      0.00000E+00      1.17000E-02      1.70000E-03
      7.00000E+01      0.00000E+00      1.50000E-02      8.00000E-04
      7.00000E+01      0.00000E+00      1.43000E-02      1.60000E-03
      8.00000E+01      0.00000E+00      1.45000E-02      8.00000E-04
      8.00000E+01      0.00000E+00      1.53000E-02      1.60000E-03
      8.50000E+01      0.00000E+00      1.64000E-02      2.50000E-03
      8.50000E+01      0.00000E+00      1.67000E-02      2.20000E-03
