# entry-subent-pointer  : O1099--03-5-0 
# EXFOR reaction        : ['74-W-0', ['P,X'], '64-GD-149,CUM,SIG'] 
# incident energy       : 2.60e+02 MeV - 2.59e+03 MeV 
# target                : W-0 
# product               : Gd-149 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : R.Michel 
# institute             : (2GERUH): University Hannover (previously Tech.University Hannover) 
# reference             : (J,NSTS,2,242,2002) 
# year                  : 2002 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O10/O1099.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1099
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.60000E+02      1.08000E+00      7.75300E-05      2.04300E-05
      3.34000E+02      1.68000E+00      5.09700E-04      6.25800E-05
      5.59000E+02      1.48000E+00      9.95800E-03      1.02200E-03
      7.64000E+02      1.45000E+00      2.30900E-02      2.34100E-03
      9.88000E+02      1.01000E+00      3.59000E-02      3.67900E-03
      1.16000E+03      1.36600E+00      4.04100E-02      4.08800E-03
      1.38000E+03      1.01600E+00      4.23600E-02      4.31700E-03
      1.57000E+03      1.29000E+00      3.72700E-02      3.78100E-03
      2.58000E+03      1.00200E+00      2.45800E-02      4.65800E-03
      2.59000E+03      1.01000E+00      2.01500E-02      2.05600E-03
