# entry-subent-pointer  : D4042-010-0 
# EXFOR reaction        : ['54-XE-0', ['P,X'], '53-I-131,IND,SIG'] 
# incident energy       : 1.6100e+01 MeV - 3.9600e+01 MeV 
# target                : Xe-0 
# product               : I-131 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : F.Tarkanyi 
# institute             : (2GERJUL): Forschungszentrum Juelich, Juelich 
# reference             : (J,RCA,47,169,1989) 
# year                  : 1989 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D40/D4042.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4042
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.61000E+01      0.00000E+00      1.10000E-04      0.00000E+00
      1.71000E+01      0.00000E+00      2.00000E-04      0.00000E+00
      1.80000E+01      0.00000E+00      1.10000E-04      0.00000E+00
      1.81000E+01      0.00000E+00      1.80000E-04      0.00000E+00
      2.11000E+01      0.00000E+00      1.30000E-04      0.00000E+00
      2.12000E+01      0.00000E+00      1.90000E-04      0.00000E+00
      2.43000E+01      0.00000E+00      1.60000E-04      0.00000E+00
      2.52000E+01      0.00000E+00      2.50000E-04      0.00000E+00
      2.72000E+01      0.00000E+00      1.70000E-04      0.00000E+00
      2.96000E+01      0.00000E+00      3.80000E-04      0.00000E+00
      3.18000E+01      0.00000E+00      3.90000E-04      0.00000E+00
      3.44000E+01      0.00000E+00      6.30000E-04      0.00000E+00
      3.46000E+01      0.00000E+00      3.40000E-04      0.00000E+00
      3.96000E+01      0.00000E+00      5.60000E-04      0.00000E+00
