# entry-subent-pointer  : O2150-002-1 
# EXFOR reaction        : (39-Y-89(P,G)40-ZR-90,,SIG) 
# incident energy       : 1.5880e+00 MeV - 3.3830e+00 MeV 
# target                : Y-89 
# product               : Zr-90 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Harissopulos 
# institute             : (2GRCATH): NCSR Demokritos, Aghia Paraskevi, Athens 
# reference             : (J,PR/C,87,025806,2013) 
# year                  : 2013 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O21/O2150.x4 
# nds                   : https://nds.iaea.org/EXFOR/O2150
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.5880E+00        0.0000E+00        1.8000E-06        5.0000E-07
        1.6890E+00        0.0000E+00        3.5000E-06        6.0000E-07
        1.7880E+00        0.0000E+00        5.8000E-06        7.0000E-07
        1.8880E+00        0.0000E+00        9.9000E-06        9.0000E-07
        1.9880E+00        0.0000E+00        2.3700E-05        1.5000E-06
        2.0880E+00        0.0000E+00        3.5000E-05        1.6000E-06
        2.1880E+00        0.0000E+00        5.2400E-05        2.4000E-06
        2.2870E+00        0.0000E+00        8.5300E-05        3.9000E-06
        2.3870E+00        0.0000E+00        1.3900E-04        6.0000E-06
        2.4870E+00        0.0000E+00        1.8200E-04        8.0000E-06
        2.5870E+00        0.0000E+00        2.4500E-04        9.0000E-06
        2.6870E+00        0.0000E+00        3.2800E-04        1.2000E-05
        2.7860E+00        0.0000E+00        3.5800E-04        1.2000E-05
        2.8640E+00        0.0000E+00        4.5000E-04        1.5000E-05
        2.9860E+00        0.0000E+00        5.9900E-04        2.0000E-05
        3.0860E+00        0.0000E+00        8.6800E-04        2.9000E-05
        3.1860E+00        0.0000E+00        1.0370E-03        3.4000E-05
        3.2860E+00        0.0000E+00        1.3940E-03        4.5000E-05
        3.3830E+00        0.0000E+00        1.4890E-03        4.9000E-05
