# entry-subent-pointer  : O0276--20-3-0 
# EXFOR reaction        : ['39-Y-89', ['P,X'], '37-RB-86-G,M+,SIG'] 
# incident energy       : 7.35e+01 MeV - 7.72e+02 MeV 
# target                : Y-89 
# product               : Rb-86-G 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : R.Michel 
# institute             : (2GERKLN): Universitaet zu Koeln 
# reference             : (J,NIM/B,129,153,1997) 
# year                  : 1997 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0276.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0276
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      7.35000E+01      1.83000E+00      9.66000E-04      9.17000E-05
      1.10000E+02      1.41000E+00      1.89000E-03      1.52000E-04
      1.20000E+02      1.34000E+00      2.38000E-03      4.38000E-04
      1.30000E+02      1.28000E+00      2.42000E-03      5.18000E-04
      1.39000E+02      1.21000E+00      2.10000E-03      2.16000E-04
      1.48000E+02      1.11000E+00      2.20000E-03      4.30000E-04
      1.57000E+02      1.06000E+00      2.46000E-03      5.67000E-04
      1.74000E+02      1.03000E+00      2.19000E-03      1.68000E-04
      2.68000E+02      1.12000E+00      3.57000E-03      9.00000E-04
      2.78000E+02      1.42000E+00      3.32000E-03      4.56000E-04
      3.35000E+02      1.57000E+00      4.05000E-03      5.57000E-04
      3.55000E+02      1.38000E+00      3.86000E-03      4.08000E-04
      3.72000E+02      1.12000E+00      3.80000E-03      4.26000E-04
      7.72000E+02      1.23000E+00      5.18000E-03      5.84000E-04
